entrezid	symbol
493856	CISD2
133308	SLC9B2
56898	BDH2
1062	CENPE
54790	TET2
27068	PPA2
54848	ARHGEF38
100874374	ARHGEF38-IT1
57117	INTS12
79807	GSTCD
255743	NPNT
93627	TBCK
9255	AIMP1
9061	PAPSS1
166929	SGMS2
101929595	CYP2U1-AS1
113612	CYP2U1
3033	HADH
51176	LEF1
285456	RPL34-DT
6164	RPL34
58505	OSTC
100533182	SEC24B-AS1
10427	SEC24B
693161	MIR576
839	CASP6
81579	PLA2G12A
3426	CFI
54433	GAR1
1950	EGF
79071	ELOVL6
5308	PITX2
132720	FAM241A
55435	AP1AR
92610	TIFA
80216	ALPK1
100421429	RTEL1P1
55345	ZGRF1
51574	LARP7
287	ANK2
817	CAMK2D
79642	ARSJ
7368	UGT8
100093630	SNHG8
101929741	METTL14-DT
57721	METTL14
9871	SEC24D
54532	USP53
401152	C4orf3
2169	FABP2
729249	KLHL2P1
101926918	GTF2IP12
645513	SEPTIN7P14
4085	MAD2L1
11107	PRDM5
79625	NDNF
308	ANXA5
5393	EXOSC9
890	CCNA2
55212	BBS7
84162	KIAA1109
166379	BBS12
11162	NUDT6
166378	SPATA5
10252	SPRY1
285419	LINC01091
57182	ANKRD50
27152	INTU
22824	HSPA4L
10733	PLK4
256471	MFSD8
80167	ABHD18
55132	LARP1B
10424	PGRMC2
100507487	LINC02615
79960	JADE1
132320	SCLT1
132321	C4orf33
101927282	LINC02466
23657	SLC7A11
25819	NOCT
1998	ELF2
4717	NDUFC1
80155	NAA15
106481781	RNU6-1214P
83452	RAB33B
80854	SETD7
4258	MGST2
55534	MAML3
60592	SCOC
255520	ELMOD2
23158	TBC1D9
27309	ZNF330
3600	IL15
8821	INPP4B
84640	USP38
2549	GAB1
100128888	RPSAP36
8467	SMARCA5
101927636	LOC101927636
10393	ANAPC10
6059	ABCE1
54726	OTUD4
4086	SMAD1
166785	MMAA
152485	ZNF827
11157	LSM6
84068	SLC10A7
55751	TMEM184C
90826	PRMT9
79658	ARHGAP10
4306	NR3C2
166614	DCLK2
987	LRBA
6189	RPS3A
114655	SNORD73B
152503	SH3D19
729830	FHIP1A
5188	GATB
55294	FBXW7
54553	MIR4453HG
201798	TIGD4
27236	ARFIP1
85462	FHDC1
23321	TRIM2
23240	TMEM131L
7097	TLR2
54798	DCHS2
5356	PLRG1
2244	FGB
2243	FGA
2266	FGG
1519	CTSO
56034	PDGFC
51313	GASK1B
285505	GASK1B-AS1
55314	TMEM144
201725	C4orf46
2110	ETFDH
5481	PPID
57600	FNIP2
9693	RAPGEF2
92345	NAF1
55319	TMA16
55016	MARCHF1
100505989	SMIM31
100506013	APELA
201931	TMEM192
11275	KLHL2
6307	MSMO1
1363	CPE
23022	PALLD
84869	CBR4
57630	SH3RF1
4750	NEK1
1182	CLCN3
54969	HPF1
9848	MFAP3L
51166	AADAT
101930370	LOC101930370
51809	GALNT7
3148	HMGB2
8819	SAP30
26269	FBXO8
80817	CEP44
3248	HPGD
60559	SPCS3
55247	NEIL3
175	AGA
55714	TENM3
1635	DCTD
80014	WWC2
55602	CDKN2AIP
3622	ING2
201965	RWDD4
60684	TRAPPC11
728175	LINC02363
3660	IRF2
105377586	LINC02365
836	CASP3
201973	PRIMPOL
79682	CENPU
2180	ACSL1
291	SLC25A4
57587	CFAP97
83891	SNX25
55805	LRP2BP
353322	ANKRD37
55325	UFSP2
8470	SORBS2
285440	CYP4V2
2195	FAT1
2483	FRG1
153478	PLEKHG4B
133957	CCDC127
6389	SDHA
10016	PDCD6
116349	EXOC3-AS1
11336	EXOC3
6550	SLC9A3
55722	CEP72
11076	TPPP
653082	ZDHHC11B
79844	ZDHHC11
65980	BRD9
9319	TRIP13
85409	NKD2
10723	SLC12A7
100616479	MIR4635
101928857	CTD-3080P12.3
340024	SLC6A19
81037	CLPTM1L
79888	LPCAT1
64979	MRPL36
4726	NDUFS6
105374618	LOC105374618
153572	IRX2
153571	C5orf38
107986400	LOC107986400
23379	ICE1
84246	MED10
54888	NSUN2
6715	SRD5A1
11044	TENT4A
4552	MTRR
79072	FASTKD3
100505738	MIR4458HG
9037	SEMA5A
134145	ATPSCKMT
22948	CCT5
134147	CMBL
10299	MARCHF6
651746	ANKRD33B
1611	DAP
7204	TRIO
54491	OTULINL
728178	OTULIN-DT
90268	OTULIN
56172	ANKH
441061	MARCHF11
90441	ZNF622
54463	RETREG1
4651	MYO10
2502	FTH1P10
728411	GUSBP1
29102	DROSHA
55322	C5orf22
64083	GOLPH3
54545	MTMR12
51663	ZFR
10923	SUB1
6897	TARS1
23600	AMACR
114899	C1QTNF3
26064	RAI14
101929704	TTC23L-AS1
5810	RAD1
55299	BRIX1
134218	DNAJC21
64902	AGXT2
5618	PRLR
79925	SPEF2
92255	LMBRD2
6502	SKP2
133686	NADK2
6507	SLC1A3
646719	NIPBL-DT
25836	NIPBL
646723	KRT18P31
65250	CPLANE1
106479238	RN7SL37P
105374727	LOC105374727
9631	NUP155
55100	WDR70
3977	LIFR
253260	RICTOR
1601	DAB2
23548	TTC33
5734	PTGER4
5562	PRKAA1
6167	RPL37
84674	CARD6
729	C6
285636	C5orf51
26272	FBXO4
2690	GHR
100129792	CCDC152
6414	SELENOP
643977	FLJ32255
648987	LOC648987
389289	ANXA2R
153684	LOC153684
7690	ZNF131
3157	HMGCS1
56477	CCL28
64417	TMEM267
375444	C5orf34
10605	PAIP1
23530	NNT
2255	FGF10
10884	MRPS30
133418	EMB
53918	PELO
3672	ITGA1
3673	ITGA2
4338	MOCS2
257396	LOC257396
4724	NDUFS4
54622	ARL15
693166	MIR581
106481139	RN7SL801P
112574	SNX18
166979	CDC20B
345643	MCIDAS
10309	CCNO
54505	DHX29
23517	MTREX
8611	PLPP1
100847019	MIR5687
153129	SLC38A9
3572	IL6ST
441072	FLJ31104
102467147	LINC01948
4214	MAP3K1
133383	SETD9
166968	MIER3
65056	GPBP1
10769	PLK2
5144	PDE4D
55789	DEPDC1B
79993	ELOVL7
1161	ERCC8
91942	NDUFAF2
643155	SMIM15
57688	ZSWIM6
3796	KIF2A
27292	DIMT1
51194	IPO11
285672	SREK1IP1
10283	CWC27
11174	ADAMTS6
64105	CENPK
23398	PPWD1
373	TRIM23
80006	TRAPPC13
112441434	SHLD3
54557	SGTB
57486	NLN
55914	ERBIN
140890	SREK1
375449	MAST4
5295	PIK3R1
64924	SLC30A5
891	CCNB1
64946	CENPH
92259	MRPS36
1022	CDK7
202243	CCDC125
102157402	AK6
6880	TAF9
5884	RAD17
153562	MARVELD2
100506658	OCLN
728340	GTF2H2C
8293	SERF1A
6606	SMN1
4671	NAIP
2966	GTF2H2
118126072	GUSBP9
55814	BDP1
64087	MCCC2
23107	MRPS27
79810	PTCD2
3842	TNPO1
115548	FCHO2
340090	LOC340090
2297	FOXD1
689	BTF3
57763	ANKRA2
84135	UTP15
64283	ARHGEF28
8507	ENC1
3074	HEXB
84340	GFM2
10412	NSA2
26049	FAM169A
51301	GCNT4
256006	ANKRD31
3156	HMGCR
10087	CERT1
51426	POLK
728780	ANKDD1B
134359	POC5
10788	IQGAP2
2149	F2R
2150	F2RL1
55109	AGGF1
84327	ZBED3
677828	SNORA47
728723	ZBED3-AS1
55255	WDR41
6902	TBCA
8546	AP3B1
728769	SCAMP1-AS1
9522	SCAMP1
10184	LHFPL2
411	ARSB
29958	DMGDH
133746	JMY
9456	HOMER1
167153	TENT2
202333	CMYA5
345778	MTX3
101929215	THBS4-AS1
256987	SERINC5
9765	ZFYVE16
167555	FAM151B
1719	DHFR
4437	MSH3
5924	RASGRF2
100131067	CKMT2-AS1
84240	ZCCHC9
134526	ACOT12
23635	SSBP2
83734	ATG10
6228	RPS23
153339	TMEM167A
677765	SCARNA18
7518	XRCC4
10085	EDIL3
1350	COX7C
5921	RASA1
902	CCNH
153396	TMEM161B
100505894	TMEM161B-AS1
4208	MEF2C
1070	CETN3
153364	MBLAC2
10622	POLR3G
116068	LYSMD3
84059	ADGRV1
57561	ARRDC3
100129716	ARRDC3-AS1
7025	NR2F1
83989	FAM172A
134187	POU5F2
84250	SLF1
9652	TTC37
153642	ARSK
22836	RHOBTB3
2745	GLRX
22936	ELL2
831	CAST
51752	ERAP1
64167	ERAP2
4012	LNPEP
55781	RIOK2
285704	RGMB
503569	RGMB-AS1
1105	CHD1
345757	FAM174A
353189	SLCO4C1
133482	SLCO6A1
285708	LINC00491
5066	PAM
54826	GIN1
23262	PPIP5K2
90355	MACIR
83594	NUDT12
64839	FBXL17
2241	FER
285638	LOC285638
9867	PJA2
4124	MAN2A1
642987	TMEM232
91137	SLC25A46
85480	TSLP
134430	WDR36
134429	STARD4
9315	NREP
654322	SNORA13
324	APC
6728	SRP19
7905	REEP5
167227	DCP2
64848	YTHDC2
55521	TRIM36
5229	PGGT1B
153733	CCDC112
56929	FEM1C
51014	TMED7
9140	ATG12
1176	AP3S1
51397	COMMD10
57556	SEMA6A
101927233	SEMA6A-AS1
105379132	SEMA6A-AS2
285605	DTWD2
100422885	MIR1244-2
1657	DMXL1
25816	TNFAIP8
3295	HSD17B4
153443	SRFBP1
4015	LOX
9627	SNCAIP
153163	MGC32805
6643	SNX2
28966	SNX24
106481111	RN7SL689P
5480	PPIC
153241	CEP120
100418737	KRT8P33
1456	CSNK1G3
57507	ZNF608
65983	GRAMD2B
501	ALDH7A1
51808	PHAX
4001	LMNB1
401207	C5orf63
133619	PRRC1
644873	LINC01184
6558	SLC12A2
51015	ISOC1
3094	HINT1
90624	LYRM7
56990	CDC42SE2
51735	RAPGEF6
96459	FNIP1
8974	P4HA2
6583	SLC22A4
553103	MIR3936HG
6584	SLC22A5
3659	IRF1
10111	RAD50
11127	KIF3A
23176	SEPTIN8
134548	SOWAHA
134549	SHROOM1
2661	GDF9
27089	UQCRQ
116842	LEAP2
27125	AFF4
54819	ZCCHC10
3308	HSPA4
23105	FSTL4
56951	C5orf15
7416	VDAC1
6932	TCF7
6500	SKP1
5515	PPP2CA
51265	CDKL3
7320	UBE2B
91368	CDKN2AIPNL
101927934	LINC01843
106481069	RN7SL541P
23338	JADE2
51128	SAR1B
10802	SEC24A
106479901	RNU6-757P
819	CAMLG
9879	DDX46
134553	C5orf24
79770	TXNDC15
84105	PCBD2
100293090	MTND4P12
5307	PITX1
100996485	PITX1-AS1
9555	MACROH2A1
7045	TGFBI
4090	SMAD5
57113	TRPC7
100874024	TRPC7-AS1
10949	HNRNPA0
51306	FAM13B
10902	BRD8
10112	KIF20A
8697	CDC23
995	CDC25C
51307	FAM53C
51780	KDM3B
51308	REEP2
1958	EGR1
2107	ETF1
3313	HSPA9
26785	SNORD63
1495	CTNNA1
105379194	CTNNA1-AS1
64374	SIL1
109616975	SNORA74D
26821	SNORA74A
9782	MATR3
51247	PAIP2
9963	SLC23A1
389333	PROB1
202051	SPATA24
202052	DNAJC18
7322	UBE2D2
51523	CXXC5
111082989	CXXC5-AS1
5813	PURA
492311	IGIP
101929719	LOC101929719
84418	CYSTM1
5201	PFDN1
1839	HBEGF
83697	SLC4A9
54882	ANKHD1
404734	ANKHD1-EIF4EBP3
10011	SRA1
10307	APBB3
113829	SLC35A4
929	CD14
4695	NDUFA2
55374	TMCO6
3550	IK
54853	WDR55
373863	DND1
3035	HARS1
23438	HARS2
153527	ZMAT2
56662	VTRNA1-3
56122	PCDHB14
6879	TAF7
56114	PCDHGA1
56113	PCDHGA2
56103	PCDHGB2
56109	PCDHGA6
56106	PCDHGA10
56099	PCDHGB7
1729	DIAPH1
8841	HDAC3
285613	RELL2
89848	FCHSD1
64411	ARAP3
5097	PCDH1
9812	DELE1
9604	RNF14
10007	GNPDA1
80762	NDFIP1
81848	SPRY4
23092	ARHGAP26
2908	NR3C1
105378208	LOC105378208
81555	YIPF5
153768	PRELID2
153769	SH3RF2
51520	LARS1
54439	RBM27
10915	TCERG1
5521	PPP2R2B
1809	DPYSL3
6690	SPINK1
11005	SPINK5
102546294	LOC102546294
81545	FBXO38
79628	SH3TC2
134266	GRPEL2
78991	PCYOX1L
1452	CSNK1A1
389337	ARHGEF37
133522	PPARGC1B
5145	PDE6A
1836	SLC26A2
81789	TIGD6
22993	HMGXB3
1436	CSF1R
6174	RPL7P1
5159	PDGFRB
6949	TCOF1
972	CD74
6208	RPS14
102546298	NDST1-AS1
3340	NDST1
11346	SYNPO
55696	RBM22
51164	DCTN4
85027	SMIM3
91975	ZNF300
2878	GPX3
10318	TNIP1
309	ANXA6
26112	CCDC69
2760	GM2A
153201	SLC36A2
206358	SLC36A1
6678	SPARC
475	ATOX1
10146	G3BP1
10827	FAM114A2
4238	MFAP3
55568	GALNT10
386627	SAP30L-AS1
79685	SAP30L
100302284	MIR1303
23367	LARP1
100271172	RPL21P57
10826	FAXDC2
9337	CNOT8
25929	GEMIN5
29093	MRPL22
91937	TIMD4
26762	HAVCR1
84868	HAVCR2
9443	MED7
26999	CYFIP2
8728	ADAM19
348938	NIPAL4
11063	SOX30
100190949	C5orf52
54974	THG1L
134353	LSM11
9685	CLINT1
153830	RNF145
134510	UBLCP1
7265	TTC1
114825	PWWP2A
2172	FABP6
79616	CCNJL
63920	ZBED8
10569	SLU7
9232	PTTG1
23120	ATP10B
900	CCNG1
134492	NUDCD2
3161	HMMR
27430	MAT2B
23286	WWC1
5917	RARS1
79646	PANK3
389342	RPL10P9
54908	SPDL1
64901	RANBP17
107075249	RPSAP71
4869	NPM1
23291	FBXW11
6793	STK10
92181	UBTD2
285590	SH3PXD2B
54492	NEURL1B
1843	DUSP1
57222	ERGIC1
100268168	LOC100268168
51121	RPL26L1
8992	ATP6V0E1
677841	SNORA74B
153222	CREBRF
662	BNIP1
8614	STC2
91272	BOD1
101928136	LINC01484
80315	CPEB4
133491	C5orf47
4488	MSX2
94081	SFXN1
84321	THOC3
375484	SIMC1
100421311	BRCC3P1
57179	KIAA1191
51491	NOP16
192286	HIGD2A
1212	CLTB
23197	FAF2
22838	RNF44
54825	CDHR2
114787	GPRIN1
26262	TSPAN17
51720	UIMC1
23567	ZNF346
2264	FGFR4
64324	NSD1
53917	RAB24
83463	MXD3
27166	PRELID1
10960	LMAN2
10636	RGS14
6569	SLC34A1
2161	F12
2870	GRK6
80758	PRR7
1627	DBN1
9260	PDLIM7
79930	DOK3
51428	DDX41
54540	FAM193B
54732	TMED9
11285	B4GALT7
728554	LOC728554
23138	N4BP3
64777	RMND5B
55651	NHP2
3182	HNRNPAB
85007	PHYKPL
57396	CLK4
6940	ZNF354A
117608	ZNF354B
345462	ZNF879
80230	RUFY1
101928445	RUFY1-AS1
3187	HNRNPH1
646019	CBY3
821	CANX
9794	MAML1
4056	LTC4S
11282	MGAT4B
8878	SQSTM1
51149	MRNIP
100996419	LOC100996419
23061	TBC1D9B
55819	RNF130
255426	RASGEF1C
5601	MAPK9
9945	GFPT2
57472	CNOT6
4245	MGAT1
100859930	HEIH
729678	LINC00847
643836	ZFP62
79908	BTNL8
10917	BTNL3
153579	BTNL9
90933	TRIM41
10399	RACK1
101928649	CTC-338M12.4
84851	TRIM52
100507602	TRIM52-AS1
56940	DUSP22
55770	EXOC2
94234	FOXQ1
2296	FOXC1
2762	GMDS
154386	LINC01600
340156	MYLK4
56897	WRNIP1
1992	SERPINB1
5272	SERPINB9
5269	SERPINB6
401232	LINC01011
4835	NQO2
8737	RIPK1
670	BPHL
7280	TUBB2A
347733	TUBB2B
389362	PSMG4
63027	SLC22A23
100507336	LOC100507336
221749	PXDC1
8899	PRPF4B
10455	ECI2
9425	CDYL
10799	RPP40
100129461	LYRM4-AS1
648791	PPP1R3G
57128	LYRM4
10667	FARS2
6239	RREB1
6745	SSR1
83732	RIOK1
1832	DSP
154007	SNRNP48
81567	TXNDC5
63915	BLOC1S5
9521	EEF1E1
51000	SLC35B3
100506207	LOC100506207
7020	TFAP2A
109729173	TFAP2A-AS2
2651	GCNT2
644378	GCNT2P1
55003	PAK1IP1
51522	TMEM14C
81853	TMEM14B
221710	SMIM13
4739	NEDD9
100113407	TMEM170B
84830	ADTRP
3096	HIVEP1
1906	EDN1
653232	RPL15P3
100130357	LOC100130357
51256	TBC1D7
54438	GFOD1
23408	SIRT5
51406	NOL7
10048	RANBP9
63933	MCUR1
9308	CD83
3720	JARID2
84062	DTNBP1
29116	MYLIP
6310	ATXN1
221662	RBM24
10486	CAP2
51439	FAM8A1
9972	NUP153
63971	KIF13A
378884	NHLRC1
7172	TPMT
221656	KDM1B
7913	DEK
154141	MBOAT1
1871	E2F3
100874268	E2F3-IT1
54901	CDKAL1
6659	SOX4
51473	DCDC2
57380	MRS2
2822	GPLD1
7915	ALDH5A1
9856	KIAA0319
51567	TDP2
55856	ACOT13
81688	C6orf62
105374978	LINC02828
51053	GMNN
55604	CARMIL1
10590	SCGN
10050	SLC17A4
6568	SLC17A1
10475	TRIM38
8359	H4C1
8366	H4C2
8358	H3C2
8335	H2AC4
3006	H1-2
3077	HFE
8364	H4C3
8347	H2BC4
8334	H2AC6
3008	H1-4
3017	H2BC5
8344	H2BC6
8360	H4C4
3013	H2AC7
8343	H2BC7
8367	H4C5
8339	H2BC8
3012	H2AC8
8353	H3C6
3007	H1-3
8968	H3C7
8345	H2BC9
8355	H3C8
8346	H2BC10
8365	H4C8
11118	BTN3A2
10385	BTN2A2
11119	BTN3A1
54718	BTN2A3P
10384	BTN3A3
11120	BTN2A1
696	BTN1A1
493812	HCG11
10473	HMGN4
29777	ABT1
79692	ZNF322
387036	GUSBP2
100133205	LINC00240
8970	H2BC11
8969	H2AC11
85236	H2BC12
85235	H2AC12
10279	PRSS16
346157	ZNF391
7738	ZNF184
100507173	LINC01012
8340	H2BC13
8329	H2AC13
8357	H3C10
8331	H2AC14
8342	H2BC14
8362	H4C12
8341	H2BC15
8330	H2AC15
8332	H2AC16
3009	H1-5
8356	H3C12
8348	H2BC17
100129195	ZSCAN16-AS1
7718	ZNF165
80345	ZSCAN16
7745	ZKSCAN8
7746	ZSCAN9
387032	ZKSCAN4
7741	ZSCAN26
84547	PGBD1
64288	ZSCAN31
80317	ZKSCAN3
9753	ZSCAN12
5987	TRIM27
282890	ZNF311
2550	GABBR1
3134	HLA-F
285830	HLA-F-AS1
352962	HLA-V
352990	HCP5B
3138	HLA-K
3105	HLA-A
80862	ZNRD1ASP
3137	HLA-J
30834	POLR1H
6992	PPP1R11
80352	RNF39
11074	TRIM31
135644	TRIM40
10107	TRIM10
89870	TRIM15
7726	TRIM26
100421582	PAIP1P1
3139	HLA-L
414777	HCG18
56658	TRIM39
3133	HLA-E
2794	GNL1
80742	PRR3
23	ABCF1
5514	PPP1R10
28973	MRPS18B
79969	ATAT1
221545	C6orf136
8449	DHX16
170954	PPP1R18
11270	NRM
9656	MDC1
203068	TUBB
10211	FLOT1
105379695	IER3-AS1
8870	IER3
780	DDR1
57176	VARS2
389376	SFTA2
170679	PSORS1C1
54535	CCHCR1
6941	TCF19
253018	HCG27
3107	HLA-C
3106	HLA-B
100507436	MICA
10866	HCP5
4277	MICB
7919	DDX39B
692233	SNORD117
4795	NFKBIL1
199	AIF1
7916	PRRC2A
677820	SNORA38
7917	BAG6
55937	APOM
57827	C6orf47
7918	GPANK1
1460	CSNK2B
58496	LY6G5B
7920	ABHD16A
80740	LY6G6C
23564	DDAH2
1192	CLIC1
4439	MSH5
80737	VWA7
7407	VARS1
57819	LSM2
3305	HSPA1L
3303	HSPA1A
3304	HSPA1B
50854	SNHG32
4758	NEU1
80736	SLC44A4
10919	EHMT2
717	C2
221527	ZBTB12
629	CFB
7936	NELFE
6499	SKIV2L
1797	DXO
8859	STK19
720	C4A
721	C4B
7148	TNXB
1388	ATF6B
63943	FKBPL
80863	PRRT1
100507547	LOC100507547
9374	PPT2
100532746	PPT2-EGFL8
80864	EGFL8
10554	AGPAT1
6048	RNF5
177	AGER
5089	PBX2
6891	TAP2
6890	TAP1
3108	HLA-DMA
6046	BRD2
1302	COL11A2
6257	RXRB
7922	SLC39A7
7923	HSD17B8
6015	RING1
414765	HCG25
6293	VPS52
6222	RPS18
8705	B3GALT4
9277	WDR46
10471	PFDN6
5863	RGL2
6892	TAPBP
9278	ZBTB22
1616	DAXX
3833	KIFC1
5252	PHF1
51596	CUTA
8831	SYNGAP1
221504	ZBTB9
578	BAK1
3710	ITPR3
84300	UQCC2
221496	LEMD2
4295	MLN
3159	HMGA1
221491	SMIM29
11165	NUDT3
6204	RPS10
64771	ILRUN
106480976	RN7SL200P
101929243	ILRUN-AS1
6631	SNRPC
54887	UHRF1BP1
6882	TAF11
23294	ANKS1A
222663	SCUBE3
7629	ZNF76
50619	DEF6
5467	PPARD
2178	FANCE
4736	RPL10A
102465668	MIR7111
7005	TEAD3
2289	FKBP5
6732	SRPK1
1432	MAPK14
5603	MAPK13
27154	BRPF3
285848	PNPLA1
389384	BNIP5
222658	KCTD20
11329	STK38
6428	SRSF3
106481619	RNU1-88P
1026	CDKN1A
51645	PPIL1
221477	C6orf89
23787	MTCH1
5292	PIM1
221468	TMEM217
55633	TBC1D22B
9025	RNF8
23070	CMTR1
154467	CCDC167
60685	ZFAND3
106480178	RNVU1-33
114781	BTBD9
2739	GLO1
55776	SAYSD1
8645	KCNK5
100505635	DAAM2-AS1
4337	MOCS1
222643	UNC5CL
221443	OARD1
4800	NFYA
221442	ADCY10P1
101060264	FOXP4-AS1
116113	FOXP4
7942	TFEB
10817	FRS3
25862	USP49
9477	MED20
705	BYSL
896	CCND3
129685	TAF8
647024	C6orf132
2979	GUCA1B
55173	MRPS10
55809	TRERF1
23304	UBR2
106480618	RNU6-890P
6903	TBCC
23506	BICRAL
285855	RPL7L1
441150	C6orf226
10695	CNPY3
5190	PEX6
5528	PPP2R5D
4201	MEA1
116138	KLHDC3
88745	RRP36
9820	CUL7
89953	KLC4
51069	MRPL2
5754	PTK7
6722	SRF
23113	CUL9
10591	DNPH1
84630	TTBK1
10864	SLC22A7
24149	ZNF318
89845	ABCC10
65989	DLK2
93643	TJAP1
9533	POLR1C
25844	YIPF3
57510	XPO5
646294	RPS2P29
5429	POLH
54676	GTPBP2
9587	MAD2L1BP
55168	MRPS18A
7422	VEGFA
101929705	SCIRT
221416	C6orf223
64928	MRPL14
55362	TMEM63B
2030	SLC29A1
3326	HSP90AB1
347734	SLC35B2
4794	NFKBIE
202500	TCTE1
57505	AARS2
988	CDC5L
8464	SUPT3H
53405	CLIC5
22875	ENPP4
59084	ENPP5
4224	MEP1A
27242	TNFRSF21
23607	CD2AP
222611	ADGRF2
221393	ADGRF4
4594	MMUT
55166	CENPQ
135398	C6orf141
101927020	LOC101927020
100505985	LOC100505985
5314	PKHD1
4172	MCM3
85315	PAQR8
114327	EFHC1
9697	TRAM2
401264	TRAM2-AS1
730101	LOC730101
28978	TMEM14A
2939	GSTA2
2938	GSTA1
2941	GSTA4
22858	CILK1
26268	FBXO9
60481	ELOVL5
2729	GCLC
401265	KLHL31
55227	LRRC1
27283	TINAG
222584	FAM83B
667	DST
57691	KIAA1586
26036	ZNF451
9532	BAG2
51715	RAB23
5558	PRIM2
51557	LGSN
441154	RPL7AP34
7803	PTP4A1
23469	PHF3
346007	EYS
112935969	SCAT8
55788	LMBRD1
57579	FAM135A
135154	SDHAF4
60682	SMAP1
79627	OGFRL1
79940	LINC00472
80759	KHDC1
120766141	KHDC1-AS1
115004	CGAS
25821	MTO1
1915	EEF1A1
26503	SLC17A5
1303	COL12A1
1347	COX7A2
55754	TMEM30A
100506804	TMEM30A-DT
26054	SENP6
106480630	RNU6-1016P
4646	MYO6
134728	IRAK1BP1
55023	PHIP
9324	HMGN3
100288198	HMGN3-AS1
167691	LCA5
83699	SH3BGRL2
7272	TTK
594	BCKDHB
55603	TENT5A
25998	IBTK
7162	TPBG
90025	UBE3D
23033	DOP1A
5238	PGM3
112611	RWDD2A
4199	ME1
167681	PRSS35
51167	CYB5R4
22832	CEP162
57231	SNX14
10492	SYNCRIP
387066	SNHG5
1081	CGA
23036	ZNF292
375519	GJB7
57150	SMIM8
206412	C6orf163
10559	SLC35A1
57038	RARS2
23595	ORC3
55122	AKIRIN2
8732	RNGTT
10957	PNRC1
101929004	LOC101929004
135293	PM20D2
51465	UBE2J1
58528	RRAGD
57226	LYRM2
23195	MDN1
9994	CASP8AP2
6885	MAP3K7
79694	MANEA
23376	UFL1
29078	NDUFAF4
253714	MMS22L
26235	FBXL4
51805	COQ3
25957	PNISR
85015	USP45
100130890	TSTD3
892	CCNC
10973	ASCC3
2898	GRIK2
57531	HACE1
389421	LIN28B
5550	PREP
639	PRDM1
9474	ATG5
202	CRYBG1
84816	RTN4IP1
55278	QRSL1
100422737	LINC02532
100133941	CD24
51250	MTRES1
57673	BEND3
57107	PDSS2
256380	SCML4
11231	SEC63
28962	OSTM1
7101	NR2E1
8724	SNX3
246269	AFG1L
2309	FOXO3
84071	ARMC2
27244	SESN1
285753	CEP57L1
221262	CCDC162P
8763	CD164
6610	SMPD2
64780	MICAL1
9841	ZBTB24
221264	AK9
9896	FIG4
8936	WASF1
51362	CDC40
23097	CDK19
262	AMD1
112495	GTF3C6
84154	RPF2
117247	SLC16A10
91749	MFSD4B
5980	REV3L
643749	TRAF3IP2-AS1
10758	TRAF3IP2
2534	FYN
51175	TUBE1
619208	FAM229B
105377957	LINC02518
101927686	LINC02541
4082	MARCKS
3066	HDAC2
101927768	HDAC2-AS2
2444	FRK
221294	NT5DC1
23270	TSPYL4
29940	DSE
7259	TSPYL1
51389	RWDD1
221302	ZUP1
3841	KPNA5
6098	ROS1
285761	DCBLD1
57120	GOPC
116150	NUS1
254394	MCM9
25842	ASF1A
79632	FAM184A
4121	MAN1A1
221322	TBC1D32
3298	HSF2
57515	SERINC1
5570	PKIB
10924	SMPDL3A
7164	TPD52L1
51020	HDDC2
135112	NCOA7
135114	HINT3
60487	TRMT11
387103	CENPW
81847	RNF146
55862	ECHDC1
5796	PTPRK
93663	ARHGAP18
84456	L3MBTL3
114801	TMEM200A
100507203	SMLR1
2037	EPB41L2
9465	AKAP7
383	ARG1
9439	MED23
5169	ENPP3
5167	ENPP1
8417	STX7
8876	VNN1
116843	SLC18B1
6206	RPS12
594837	SNORD101
594838	SNORD100
594839	SNORA33
9519	TBPL1
154091	SLC2A12
6446	SGK1
10767	HBS1L
4602	MYB
54806	AHI1
100131814	LINC00271
644135	LOC644135
113115	MTFR2
9774	BCLAF1
9053	MAP7
4217	MAP3K5
5191	PEX7
3459	IFNGR1
100130476	WAKMAR2
7128	TNFAIP3
64065	PERP
57221	ARFGEF3
23593	HEBP2
57224	NHSL1
25901	CCDC28A
85021	REPS1
58527	ABRACL
51696	HECA
10370	CITED2
51534	VTA1
57211	ADGRG6
3097	HIVEP2
51390	AIG1
100131471	LOC100131471
134637	ADAT2
8504	PEX3
2519	FUCA2
9749	PHACTR2
84946	LTV1
5325	PLAGL1
83443	SF3B5
7402	UTRN
7957	EPM2A
84085	FBXO30
257218	SHPRH
10981	RAB32
134957	STXBP5
389432	SAMD5
23328	SASH1
10090	UST
23118	TAB2
387082	SUMO4
340152	ZC3H12D
85313	PPIL4
116254	GINM1
11104	KATNA1
9113	LATS1
645967	LOC645967
348995	NUP43
5110	PCMT1
84918	LRP11
80328	ULBP2
80329	ULBP1
646024	RAET1K
79465	ULBP3
81706	PPP1R14C
389434	IYD
57480	PLEKHG1
25902	MTHFD1L
106479701	RNU6-302P
9590	AKAP12
57621	ZBTB2
55005	RMND1
100420051	HSPA8P15
79624	ARMT1
80129	CCDC170
23345	SYNE1
26271	FBXO5
54516	MTRF1L
389435	RPL27AP6
154043	CNKSR3
101928868	LOC101928868
22828	SCAF8
26230	TIAM2
51106	TFB1M
57492	ARID1B
115308161	LOC115308161
729515	TMEM242
79683	ZDHHC14
51429	SNX9
8871	SYNJ2
