Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Gene Ratio
WT90,"HALLMARK IL2 STAT5
SIGNALING",HALLMARK_IL2_STAT5_SIGNALING,14/127,148/3446,9.089417684148201e-4,0.00499917972628151,0.0034683304321091813,MAFF/RHOB/SPRY4/GADD45B/MYC/BMP2/LIF/AHR/BHLHE40/PHLDA1/MAP3K8/NFKBIZ/PTCH1/IGF1R,14,0.11023622047244094
WT90,"HALLMARK EPITHELIAL
MESENCHYMAL
TRANSITION",HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,13/127,138/3446,0.0014492353877132924,0.007085150784376096,0.004915535233179588,AREG/RHOB/GADD45B/ID2/FSTL3/SAT1/GEM/TNFRSF12A/PMEPA1/FLNA/TNFRSF11B/JUN/MAGEE1,13,0.10236220472440945
WT90,"HALLMARK KRAS
SIGNALING UP",HALLMARK_KRAS_SIGNALING_UP,12/127,132/3446,0.002992700411316742,0.013167881809793665,0.009135611781914264,DUSP6/SPRY2/BMP2/TRIB1/ID2/LIF/HBEGF/PPP1R15A/SOX9/SCN1B/KLF4/YRDC,12,0.09448818897637795
WT180,"HALLMARK TNFA
SIGNALING VIA NFKB",HALLMARK_TNFA_SIGNALING_VIA_NFKB,55/158,168/3446,2.227461914251126e-35,1.0023578614130067e-33,7.50302960589853e-34,FOS/NR4A1/AREG/MAFF/MYC/NR4A3/JUNB/DUSP5/BHLHE40/DUSP2/IER3/RHOB/DUSP4/GADD45B/HES1/FOSL1/ETS2/CXCL2/NR4A2/DUSP1/PMEPA1/PHLDA2/PHLDA1/CXCL3/FJX1/NFE2L2/CCND1/SAT1/BMP2/EGR1/MAP3K8/TRIB1/ZFP36/EDN1/FUT4/JAG1/RNF19B/CCL2/PFKFB3/HBEGF/TGIF1/TNFAIP8/FOSB/LIF/KLF6/B4GALT5/GEM/BTG2/EGR3/IER2/CDKN1A/KLF10/TNFRSF9/CLCF1/EGR2,55,0.34810126582278483
WT180,HALLMARK HYPOXIA,HALLMARK_HYPOXIA,21/158,165/3446,1.335390336548861e-5,3.0046282572349374e-4,2.2490784615559768e-4,FOS/MAFF/BHLHE40/IER3/DUSP1/SIAH2/ZFP36/CDKN1B/HOXB9/HK2/DDIT4/SLC2A1/PFKFB3/NOCT/NR3C1/KLF6/CXCR4/CDKN1A/ADM/ERRFI1/MXI1,21,0.13291139240506328
WT180,"HALLMARK IL2 STAT5
SIGNALING",HALLMARK_IL2_STAT5_SIGNALING,18/158,148/3446,1.068114470064872e-4,0.0013403670780061192,0.0010033157075133524,MAFF/SPRY4/MYC/BHLHE40/AHR/RHOB/GADD45B/MYO1E/PHLDA1/BMP2/MAP3K8/ETV4/HK2/LIF/KLF6/BCL2L1/TNFRSF9/CCND3,18,0.11392405063291139
WT180,HALLMARK APOPTOSIS,HALLMARK_APOPTOSIS,17/158,136/3446,1.1914374026721059e-4,0.0013403670780061192,0.0010033157075133524,TXNIP/IER3/RHOB/GADD45B/CCND1/SAT1/BMP2/BMF/CDKN1B/PMAIP1/BCL2L1/BTG2/EGR3/CDKN1A/EREG/SMAD7/CASP9,17,0.10759493670886076
WT180,HALLMARK P53 PATHWAY,HALLMARK_P53_PATHWAY,20/158,183/3446,1.9668637308349748e-4,0.0017701773577514773,0.0013250450397204042,FOS/TXNIP/PLK3/EPHA2/IER3/SAT1/BMP2/TM4SF1/RNF19B/DDIT4/HBEGF/LIF/GPX2/BTG2/CDKN1A/TRAF4/PVT1/HSPA4L/CCND3/HEXIM1,20,0.12658227848101267
WT180,"HALLMARK
INFLAMMATORY
RESPONSE",HALLMARK_INFLAMMATORY_RESPONSE,14/158,107/3446,3.019852127651586e-4,0.0022648890957386895,0.0016953555804359779,MYC/AHR/SCN1B/CD55/EDN1/CCL2/HBEGF/LIF/KLF6/BTG2/CDKN1A/TNFRSF9/EREG/ADM,14,0.08860759493670886
WT180,"HALLMARK TGF BETA
SIGNALING",HALLMARK_TGF_BETA_SIGNALING,9/158,52/3446,4.801658872946172e-4,0.003086780704036825,0.0023105726907410155,JUNB/ID1/PMEPA1/SKIL/BMP2/TGIF1/KLF10/SMAD7/THBS1,9,0.056962025316455694
WT180,"HALLMARK ESTROGEN
RESPONSE EARLY",HALLMARK_ESTROGEN_RESPONSE_EARLY,18/158,172/3446,7.123196739867828e-4,0.004006798166175654,0.002999240732575928,FOS/AREG/MYC/BHLHE40/HES1/CCND1/SIAH2/RETREG1/FOXC1/TGIF2/TFAP2C/SLC2A1/AQP3/PMAIP1/EGR3/KLF10/TBC1D30/TFF1,18,0.11392405063291139
WT180,"HALLMARK KRAS
SIGNALING UP",HALLMARK_KRAS_SIGNALING_UP,13/158,132/3446,0.006711168293327855,0.03355584146663927,0.025117822852221215,DUSP6/SOX9/BMP2/SCN1B/TRIB1/SPRY2/ETV4/ETV5/HBEGF/LIF/MMD/CXCR4/EREG,13,0.08227848101265822
N45,"HALLMARK TNFA
SIGNALING VIA NFKB",HALLMARK_TNFA_SIGNALING_VIA_NFKB,28/42,168/3446,5.67137584613342e-28,1.701412753840026e-26,1.1342751692266839e-26,FOS/NR4A1/DUSP1/EGR1/JUNB/MAFF/NR4A3/FOSB/HES1/ID2/DUSP5/EDN1/IER2/EGR2/PPP1R15A/RHOB/MYC/CXCL2/IER3/CCN1/KLF10/EGR3/AREG/JUN/PHLDA1/GADD45B/BMP2/NFE2L2,28,0.6666666666666666
N45,"HALLMARK TGF BETA
SIGNALING",HALLMARK_TGF_BETA_SIGNALING,6/42,52/3446,3.045375611383943e-5,4.568063417075914e-4,3.0453756113839423e-4,JUNB/ID2/ID1/PPP1R15A/KLF10/BMP2,6,0.14285714285714285
N45,"HALLMARK UV RESPONSE
UP",HALLMARK_UV_RESPONSE_UP,8/42,141/3446,2.334238310935458e-4,0.002334238310935458,0.001556158873956972,FOS/NR4A1/JUNB/FOSB/RHOB/CXCL2/POLG2/BMP2,8,0.19047619047619047
N45,"HALLMARK IL2 STAT5
SIGNALING",HALLMARK_IL2_STAT5_SIGNALING,8/42,148/3446,3.261148065268362e-4,0.0024458610489512716,0.001630574032634181,MAFF/SPRY4/RHOB/MYC/NFKBIZ/PHLDA1/GADD45B/BMP2,8,0.19047619047619047
N45,HALLMARK HYPOXIA,HALLMARK_HYPOXIA,8/42,165/3446,6.814010855697235e-4,0.004088406513418341,0.002725604342278894,FOS/DUSP1/MAFF/PPP1R15A/IER3/CCN1/JUN/CITED2,8,0.19047619047619047
N45,HALLMARK APOPTOSIS,HALLMARK_APOPTOSIS,7/42,136/3446,0.0010830499626506042,0.005415249813253021,0.0036101665421686803,RHOB/TXNIP/IER3/EGR3/JUN/GADD45B/BMP2,7,0.16666666666666666
N45,HALLMARK P53 PATHWAY,HALLMARK_P53_PATHWAY,8/42,183/3446,0.0013491661851541344,0.005782140793517718,0.0038547605290118127,FOS/PPP1R15A/TXNIP/IER3/PLK3/EPHA2/JUN/BMP2,8,0.19047619047619047
N45,"HALLMARK KRAS
SIGNALING UP",HALLMARK_KRAS_SIGNALING_UP,6/42,132/3446,0.004750460649845465,0.017814227436920495,0.011876151624613663,DUSP6/ID2/SPRY2/PPP1R15A/BMP2/SOX9,6,0.14285714285714285
N45,"HALLMARK EPITHELIAL
MESENCHYMAL
TRANSITION",HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6/42,138/3446,0.005904639591022966,0.019682131970076556,0.013121421313384368,ID2/RHOB/CCN1/AREG/JUN/GADD45B,6,0.14285714285714285
N45,"HALLMARK ESTROGEN
RESPONSE EARLY",HALLMARK_ESTROGEN_RESPONSE_EARLY,6/42,172/3446,0.016636843045491637,0.04734337028815002,0.031562246858766685,FOS/HES1/MYC/KLF10/EGR3/AREG,6,0.14285714285714285
N45,"HALLMARK UV RESPONSE
DN",HALLMARK_UV_RESPONSE_DN,5/42,126/3446,0.017359235772321676,0.04734337028815002,0.031562246858766685,DUSP1/ID1/MYC/CCN1/CITED2,5,0.11904761904761904
N90,"HALLMARK TNFA
SIGNALING VIA NFKB",HALLMARK_TNFA_SIGNALING_VIA_NFKB,60/116,168/3446,1.74965816603212e-51,7.348564297334904e-50,4.972712682407078e-50,NR4A1/FOS/MAFF/AREG/RHOB/JUNB/NR4A3/DUSP5/IER3/DUSP1/ID2/DUSP4/MYC/TRIB1/NR4A2/PHLDA1/GADD45B/BMP2/LIF/CXCL2/FOSB/NFE2L2/EDN1/BHLHE40/HES1/KLF10/DUSP2/FOSL1/GEM/CXCL3/CCL2/EGR1/IER2/EGR3/SAT1/SOCS3/MCL1/HBEGF/BTG2/MAP3K8/CCND1/PPP1R15A/NFKBIA/ETS2/EGR2/TIPARP/PHLDA2/JAG1/RNF19B/FOSL2/PMEPA1/VEGFA/KLF6/KLF4/IER5/CCN1/TNFSF9/TGIF1/CLCF1/JUN,60,0.5172413793103449
N90,HALLMARK HYPOXIA,HALLMARK_HYPOXIA,20/116,165/3446,3.349153692386653e-7,7.033222754011972e-6,4.759323668128403e-6,FOS/MAFF/IER3/DUSP1/BHLHE40/ERRFI1/CDKN1B/CITED2/PPP1R15A/TIPARP/NOCT/DDIT4/HOXB9/FOSL2/PCK1/VEGFA/ADM/KLF6/CCN1/JUN,20,0.1724137931034483
N90,HALLMARK P53 PATHWAY,HALLMARK_P53_PATHWAY,20/116,183/3446,1.8167526224006273e-6,1.934752550102644e-5,1.3092310489416388e-5,FOS/EPHA2/PLK3/IER3/TXNIP/BMP2/LIF/SAT1/HBEGF/BTG2/PPP1R15A/DDIT4/RNF19B/TRAF4/KLF4/IER5/TNFSF9/SESN1/TM4SF1/JUN,20,0.1724137931034483
N90,HALLMARK APOPTOSIS,HALLMARK_APOPTOSIS,17/116,136/3446,1.8426214762882323e-6,1.934752550102644e-5,1.3092310489416388e-5,RHOB/IER3/TXNIP/GADD45B/BMP2/EGR3/CDKN1B/SAT1/MCL1/BTG2/NEDD9/CCND1/EREG/TNFRSF12A/PMAIP1/LGALS3/JUN,17,0.14655172413793102
N90,"HALLMARK TGF BETA
SIGNALING",HALLMARK_TGF_BETA_SIGNALING,10/116,52/3446,6.082397609905885e-6,5.109213992320944e-5,3.457362851946503e-5,JUNB/ID2/BMP2/ID1/KLF10/SKIL/PPP1R15A/PMEPA1/ID3/TGIF1,10,0.08620689655172414
N90,"HALLMARK
INFLAMMATORY
RESPONSE",HALLMARK_INFLAMMATORY_RESPONSE,14/116,107/3446,9.521481339472245e-6,6.665036937630571e-5,4.510175371328958e-5,MYC/LIF/EDN1/AHR/CCL2/HBEGF/TNFSF15/BTG2/NFKBIA/SCN1B/EREG/ADM/KLF6/TNFSF9,14,0.1206896551724138
N90,"HALLMARK KRAS
SIGNALING UP",HALLMARK_KRAS_SIGNALING_UP,13/116,132/3446,3.97045643578998e-4,0.002382273861473988,0.0016120650190425483,DUSP6/ID2/TRIB1/SPRY2/BMP2/LIF/HBEGF/SOX9/PPP1R15A/SCN1B/EREG/PRDM1/KLF4,13,0.11206896551724138
N90,"HALLMARK ESTROGEN
RESPONSE EARLY",HALLMARK_ESTROGEN_RESPONSE_EARLY,15/116,172/3446,5.29926492429374e-4,0.0027821140852542134,0.0018826335915254077,FOS/AREG/MYC/BHLHE40/HES1/KLF10/FOXC1/EGR3/CCND1/RETREG1/ELF3/TIPARP/KLF4/PMAIP1/KRT15,15,0.12931034482758622
N90,"HALLMARK IL2 STAT5
SIGNALING",HALLMARK_IL2_STAT5_SIGNALING,13/116,148/3446,0.0011912999761873968,0.005559399888874519,0.003761999924802306,MAFF/RHOB/SPRY4/MYC/PHLDA1/GADD45B/BMP2/LIF/BHLHE40/AHR/MAP3K8/NFKBIZ/KLF6,13,0.11206896551724138
N90,"HALLMARK EPITHELIAL
MESENCHYMAL
TRANSITION",HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,12/116,138/3446,0.002019128242728772,0.008480338619460842,0.005738575005650195,AREG/RHOB/ID2/GADD45B/GEM/FSTL3/SAT1/PMEPA1/TNFRSF12A/VEGFA/CCN1/JUN,12,0.10344827586206896
N180,"HALLMARK TNFA
SIGNALING VIA NFKB",HALLMARK_TNFA_SIGNALING_VIA_NFKB,66/190,168/3446,4.428280877444722e-43,2.0370092036245723e-41,1.4450179705345938e-41,FOS/MAFF/AREG/NR4A1/MYC/DUSP5/JUNB/NR4A3/RHOB/DUSP4/IER3/DUSP2/PHLDA1/BHLHE40/PMEPA1/FOSL1/CCND1/ETS2/DUSP1/GADD45B/RNF19B/FJX1/CXCL3/HES1/NR4A2/PHLDA2/BMP2/NFE2L2/FUT4/CXCL2/LIF/EGR1/SAT1/EDN1/JAG1/IER2/ZFP36/TRIB1/TNFAIP8/NFKB2/PFKFB3/KLF6/MCL1/B4GALT5/SGK1/FOSL2/TGIF1/CDKN1A/PPP1R15A/KLF10/MAP3K8/JUN/IRS2/KDM6B/SOCS3/ZC3H12A/FOSB/CLCF1/IER5/EGR3/CCL2/PER1/BCL3/PLAUR/BTG2/IRF1,66,0.3473684210526316
N180,HALLMARK HYPOXIA,HALLMARK_HYPOXIA,26/190,165/3446,6.17251451318583e-7,1.419678338032741e-5,1.007094473204004e-5,FOS/MAFF/IER3/BHLHE40/DUSP1/HOXB9/CDKN1B/HK2/SLC2A1/ZFP36/PFKFB3/KLF6/DDIT4/SIAH2/FOSL2/CDKN1A/NOCT/PPP1R15A/NR3C1/JUN/IRS2/ERRFI1/CXCR4/STC1/MXI1/PLAUR,26,0.1368421052631579
N180,HALLMARK P53 PATHWAY,HALLMARK_P53_PATHWAY,26/190,183/3446,4.705036957291681e-6,7.214390001180578e-5,5.1177594974049874e-5,FOS/PLK3/EPHA2/TXNIP/IER3/RNF19B/BMP2/LIF/SAT1/HEXIM1/TM4SF1/DDIT4/TRAF4/CDKN1A/PPP1R15A/JUN/OSGIN1/CCND3/CDK5R1/GPX2/SESN1/IER5/HSPA4L/AEN/RALGDS/BTG2,26,0.1368421052631579
N180,"HALLMARK ESTROGEN
RESPONSE EARLY",HALLMARK_ESTROGEN_RESPONSE_EARLY,23/190,172/3446,4.7751712559003315e-5,5.491446944285381e-4,3.895534445602902e-4,FOS/AREG/MYC/BHLHE40/CCND1/FOXC1/HES1/RETREG1/SLC2A1/TFAP2C/TGIF2/SIAH2/AQP3/TFF1/TBC1D30/KLF10/CYP26B1/KRT13/EGR3/WWC1/PLAAT3/KRT15/PMAIP1,23,0.12105263157894737
N180,HALLMARK APOPTOSIS,HALLMARK_APOPTOSIS,19/190,136/3446,1.2544511670684283e-4,0.0011540950737029538,8.186944458762373e-4,TXNIP/RHOB/IER3/CCND1/GADD45B/BMP2/CDKN1B/SAT1/BMF/MCL1/CDKN1A/JUN/BCL2L1/CASP9/EGR3/EREG/PMAIP1/BTG2/IRF1,19,0.1
N180,"HALLMARK
INFLAMMATORY
RESPONSE",HALLMARK_INFLAMMATORY_RESPONSE,15/190,107/3446,6.384747448581544e-4,0.004894973043912517,0.0034724065071232964,MYC/AHR/SCN1B/LIF/EDN1/CD55/KLF6/CDKN1A/SLC11A2/EREG/IL1R1/CCL2/PLAUR/BTG2/IRF1,15,0.07894736842105263
N180,"HALLMARK IL2 STAT5
SIGNALING",HALLMARK_IL2_STAT5_SIGNALING,18/190,148/3446,0.001065064057673904,0.00699899237899994,0.004964960268855793,MAFF/MYC/SPRY4/RHOB/AHR/MYO1E/PHLDA1/BHLHE40/GADD45B/BMP2/ETV4/LIF/HK2/KLF6/TNFRSF21/MAP3K8/CCND3/BCL2L1,18,0.09473684210526316
N180,"HALLMARK TGF BETA
SIGNALING",HALLMARK_TGF_BETA_SIGNALING,9/190,52/3446,0.0018148961104726337,0.010435652635217644,0.007402865713769954,JUNB/PMEPA1/ID1/SKIL/BMP2/TGIF1/THBS1/PPP1R15A/KLF10,9,0.04736842105263158
N180,"HALLMARK KRAS
SIGNALING DN",HALLMARK_KRAS_SIGNALING_DN,12/190,88/3446,0.002828899892981903,0.014458821675240836,0.010256830021337895,SKIL/NR4A2/EDN1/GPR3/SGK1/GPR19/AKR1B10/LFNG/KRT13/KRT15/BTG2/MSH5,12,0.06315789473684211
N180,"HALLMARK NOTCH
SIGNALING",HALLMARK_NOTCH_SIGNALING,6/190,30/3446,0.005071188223980074,0.023327465830308338,0.016548087888777086,CCND1/HES1/JAG1/LFNG/ST3GAL6/MAML2,6,0.031578947368421054
N180,"HALLMARK ESTROGEN
RESPONSE LATE",HALLMARK_ESTROGEN_RESPONSE_LATE,17/190,162/3446,0.006999049291354992,0.029268751582029965,0.020762729955215765,FOS/AREG/DUSP2/CCND1/FOXC1/TFAP2C/ZFP36/STIL/NAB2/SIAH2/SGK1/TFF1/CYP26B1/KRT13/EGR3/HSPA4L/PLAAT3,17,0.08947368421052632
N180,"HALLMARK IL6 JAK
STAT3 SIGNALING",HALLMARK_IL6_JAK_STAT3_SIGNALING,8/190,55/3446,0.00960025238896627,0.036800967491037374,0.026105949478767935,CXCL3/PLA2G2A/TNFRSF21/MAP3K8/JUN/SOCS3/IL1R1/IRF1,8,0.042105263157894736
