Var1	Var2	cor	p	padj
yahA	GPR157	0.8453452622340997	5.342082629247124e-4	0.03163102485549694
cspD	GPR157	0.8176906039982021	0.001157612217528839	0.04141786521153427
yccJ	GPR157	0.8057830468322023	0.0015548056746420946	0.04592691821236357
narH	GPR157	0.9586822477571276	8.846870768494099e-7	0.005534263333623861
ompW	GPR157	0.8233679489715645	9.98327816487503e-4	0.039303344378714467
E2348C_1389	GPR157	0.8097558096800967	0.0014122046336373535	0.04447390842986109
E2348C_1442	GPR157	0.8067594845547237	0.001518776261154509	0.045584049074108283
znuC	GPR157	0.8433697879886872	5.672218164731362e-4	0.03223750242287349
yegP	GPR157	0.8906423169310177	1.022473257901478e-4	0.019226836268208893
ccmB	GPR157	0.7992872893343635	0.0018114865641018082	0.048494331798988884
napH	GPR157	0.8038104326096929	0.0016295916636775985	0.04663208896254077
napG	GPR157	0.8466732897537669	5.128663134181682e-4	0.03124132157987465
napA	GPR157	0.9655989624774655	3.5813235555063215e-7	0.0045453806965335625
napF	GPR157	0.8139838288186284	0.0012717099579609295	0.04292305004033925
elaB	GPR157	0.7966861441010344	0.0019229048515262929	0.04946212933546432
E2348C_2637	GPR157	0.9177189342116924	2.583702348084914e-5	0.013535246023723574
espC	GPR157	0.8933415101560209	9.066082893647562e-5	0.018358527158625116
cysC	GPR157	0.8056354710870383	0.0015603076086669555	0.045986339593135334
ansB	GPR157	0.8323821238006941	7.80737755952319e-4	0.035985923466615714
cesD2	GPR157	0.8971912734127244	7.594411322765711e-5	0.017330224134533292
espA	GPR157	0.80236538182066	0.0016861047828173798	0.04726438432259907
cesT	GPR157	0.7975485930005622	0.0018853970169467184	0.049157733553742304
katG	GPR157	0.81121338011017885	0.0013624885464320244	0.04386020427941797
pyrI	GPR157	0.878097896445504	1.7217329335114377e-4	0.02252935076004016
thrC	EPHA2	-0.8521235992176867	4.32108230438367e-4	0.0295957906761832
guaC	EPHA2	0.8883456591713571	1.1299221713775655e-4	0.019705160686916905
E2348C_0153	EPHA2	0.8048529089156397	0.0015897333549875529	0.04625000944358406
ecpC	EPHA2	-0.8408898775801781	6.108793829447832e-4	0.03313226345245258
ecpR	EPHA2	-0.7999229204652849	0.0017850282122015763	0.04826769304832599
rdgC	EPHA2	0.8940499623195473	8.779755508323995e-5	0.018175405278909523
cof	EPHA2	-0.8463920635310606	5.173295369123498e-4	0.03132151332101564
maa	EPHA2	0.8445374686509272	5.47522604408439e-4	0.03194480945916107
ompT	EPHA2	0.8775006010412364	1.762488432434023e-4	0.022585954461037193
ybeX	EPHA2	0.8355134571077973	7.144527054210234e-4	0.03503692963622107
lysQ_2	EPHA2	0.8437036721149592	5.61533890742727e-4	0.032131646057604255
E2348C_0683	EPHA2	0.8449990451239268	5.398836282181665e-4	0.03174099048783498
E2348C_0684	EPHA2	0.8709637208100749	2.2596838006552484e-4	0.024323266263377573
E2348C_0686	EPHA2	0.8016752932729133	0.0017136171761514248	0.04759374580148547
E2348C_0718	EPHA2	0.9405854051535477	5.274938495671997e-6	0.008215536241077624
E2348C_0719	EPHA2	0.8588666983010564	3.4626491815474363e-4	0.02766099040944767
yliE	EPHA2	0.8374351402090071	6.759856484535933e-4	0.034200842179283916
yliF	EPHA2	0.8366379648345065	6.917432629628932e-4	0.03454736390371261
rarA	EPHA2	-0.8939333751874361	8.826381027110086e-5	0.018201728818931177
ycgX	EPHA2	0.8984839167578721	7.144828421999176e-5	0.017078536237157254
chaA	EPHA2	0.8272703141491573	8.990512416465361e-4	0.0377106468693785
chaC	EPHA2	-0.8997851178327213	6.713637795093143e-5	0.016889069312902974
E2348C_1441	EPHA2	0.8831740446773797	1.404282865532186e-4	0.02099786125914391
ycjZ	EPHA2	0.8754476751656048	1.9083448232655513e-4	0.023269893971843515
pptA	EPHA2	-0.7996158165596029	0.0017977742670095113	0.0483757937077266
ydfH	EPHA2	0.8552787227277571	3.9010141895733406e-4	0.028726664441226558
mdtI	EPHA2	0.813404385376041	0.0012902998008513052	0.04309745663680143
mdtJ	EPHA2	0.8116876532816834	0.001346605367220205	0.043660160205554056
ydiJ	EPHA2	-0.9341902258378815	8.698852801954055e-6	0.00987653855429769
ydiP	EPHA2	-0.8018711346444151	0.0017057746668680946	0.047514416993919235
E2348C_2111	EPHA2	0.8428240770941464	5.766143704505429e-4	0.032437479687979054
E2348C_2119	EPHA2	0.9330601101799415	9.453568936077424e-6	0.0101276189076376
galE	EPHA2	-0.87160648979496	2.206444172870708e-4	0.024173821559307578
glpQ	EPHA2	-0.8632090752230723	2.984453591144048e-4	0.02653638074854635
yfcE	EPHA2	0.895500100801025	8.21579180895183e-5	0.01773706682966128
E2348C_2486	EPHA2	0.8785074663130633	1.6942149264074355e-4	0.022415088170273073
yfeA	EPHA2	0.8313896773916769	8.027074324482702e-4	0.036206777747107205
alaX	EPHA2	0.9565940866180727	1.128014146809098e-6	0.005938166516448501
cysA	EPHA2	0.8813073977984555	1.515172162664194e-4	0.021520053478307273
cysP	EPHA2	0.8689497810059028	2.4330112062847625e-4	0.024846502881801222
E2348C_2912	EPHA2	0.9034339856129578	5.6125700536145113e-5	0.01634164706404343
E2348C_2916	EPHA2	0.9511421651245837	2.019409900514556e-6	0.006676948417810999
E2348C_2918	EPHA2	0.8207116837012141	0.001070593331172443	0.0402322494747516
yqaB	EPHA2	0.8807702839901145	1.5483144440969768e-4	0.021653436547657456
argQ	EPHA2	0.8981427751041938	7.261392536826391e-5	0.017208693490885565
cysD	EPHA2	0.9185496259230962	2.459398468309487e-5	0.013490084531463428
cysJ	EPHA2	0.9007802167730435	6.397889548995773e-5	0.016694815147979193
ygcF	EPHA2	0.8101691894511978	0.0013979654168796306	0.04430490992069189
E2348C_3230	EPHA2	0.8049753053969301	0.0015851031608731482	0.046235016918436664
E2348C_3231	EPHA2	0.9148105607930523	3.0584228698588825e-5	0.014050206453493561
E2348C_3239	EPHA2	-0.8630914996688752	2.996682419742397e-4	0.026540954778177004
gspD	EPHA2	0.8733337070350677	2.068218729462571e-4	0.023811877294885157
yghJ	EPHA2	0.8115624865526878	0.0013507832404868324	0.04372853212367857
E2348C_3851	EPHA2	0.8177261622038552	0.0011565573351043623	0.0414144333380709
yicR	EPHA2	0.8270973736895226	9.032824431425694e-4	0.037792567916075395
espF	EPHA2	0.8012396528667902	0.0017311616248622324	0.04773619430728708
espB	EPHA2	0.8108521691649708	0.0013746816216187398	0.04402962354446909
espG	EPHA2	0.8511424733712397	4.458613540909099e-4	0.02992662566051593
E2348C_3971	EPHA2	0.9275192427689144	1.3936856209018351e-5	0.011317671779035539
aslB	EPHA2	0.8213779111334134	0.0010521012761085025	0.03991482282834843
rhtB	EPHA2	-0.7961577825608979	0.0019461637922774282	0.04966515135959316
yihG	EPHA2	0.818108732673335	0.0011452546220168877	0.04124948388501674
sbp	EPHA2	0.8563000347446941	3.772079001986529e-4	0.028467029631662467
eptA	EPHA2	0.7989143317151296	0.0018271502994992048	0.04858168408958941
glyY	EPHA2	0.85619868828560175	3.784723268711948e-4	0.028467029631662467
yjiA	EPHA2	0.8979103915230927	7.341646047583944e-5	0.017302758955681542
creB	EPHA2	0.8555021625146904	3.8725177399572187e-4	0.028709191293953225
bfpU	EPHA2	-0.8316687670580637	7.96481584239854e-4	0.03613950798572303
traT	EPHA2	0.8529031587924012	4.2141742004720307e-4	0.029482411207785105
nhaA	KLHDC7A	-0.8466044872192845	5.13955479112442e-4	0.03126341104316346
dxr	KLHDC7A	0.8342394934931454	7.408725749903695e-4	0.03548716717110827
E2348C_0246	KLHDC7A	0.9047340795736514	5.256596239989194e-5	0.01617144950321999
ecpC	KLHDC7A	0.8164656172224621	0.0011944078530351445	0.041969563587127834
ecpB	KLHDC7A	0.8235044158919768	9.947195617785527e-4	0.03927726682137635
yahA	KLHDC7A	-0.8457464748192752	5.276893711258537e-4	0.03154229277223141
ybdB	KLHDC7A	0.8090407952457548	0.0014370967255405123	0.044714567555147466
E2348C_0686	KLHDC7A	-0.8345195023915732	7.350019271131789e-4	0.03540506298557153
ybhG	KLHDC7A	0.8198332605878778	0.001095356842120049	0.04058569614072458
artP	KLHDC7A	-0.8006752636030299	0.0017540955311176004	0.048007087867077025
cspH	KLHDC7A	-0.796500378806316	0.0019310580066388776	0.04953827380845435
plsX	KLHDC7A	-0.8200634584379443	0.0010888251349894205	0.04047080747066623
gdhA	KLHDC7A	0.830940578336768	8.12804669371936e-4	0.03638260397278913
uspC	KLHDC7A	0.8407582663159797	6.132669328724477e-4	0.03315191239070931
yecS	KLHDC7A	0.8136779039347012	0.0012814988532580001	0.043053920631858505
gmd	KLHDC7A	0.8085570513039074	0.0014541277053768532	0.04491279676950194
dld	KLHDC7A	0.816232475004767	0.0012015116699664347	0.042065421663897797
yohJ	KLHDC7A	0.8385078561539437	6.552215332606289e-4	0.0338773011191115
ypeC	KLHDC7A	0.9020041873297494	6.0256415696831145e-5	0.016472151137894044
raiA	KLHDC7A	0.7975853161706348	0.001883812464236043	0.04915390452858345
E2348C_2914	KLHDC7A	-0.8098237808106977	0.001409855688406083	0.044473158307982145
nrdH	KLHDC7A	0.7985008608466044	0.0018446366014634285	0.0487586412803274
hycA	KLHDC7A	0.8074591754097666	0.0014933553298237848	0.04535839394083551
cysH	KLHDC7A	-0.8150575843358918	0.0012378067489065003	0.04257111440608592
yqfA	KLHDC7A	0.8049027451467754	0.0015878468258394944	0.04625000944358406
pppA	KLHDC7A	-0.8296102769967623	8.432910212045387e-4	0.03683612619628474
alx	KLHDC7A	-0.8952795901164484	8.299664508285988e-5	0.017789519249061043
yhbC	KLHDC7A	-0.874141909644066	2.0059088737738517e-4	0.02367040036676443
chuT	KLHDC7A	0.8374353614331443	6.759813144747878e-4	0.034200842179283916
yicE	KLHDC7A	-0.8378605715654424	6.676907224737693e-4	0.03412396396996391
E2348C_3931	KLHDC7A	-0.801494609640884	0.0017208771814567422	0.047659455726773506
escD	KLHDC7A	-0.8139918049480498	0.001271455511860266	0.04292305004033925
cesT	KLHDC7A	-0.7995384550749224	0.0018009960503149634	0.04840578097212871
E2348C_3942	KLHDC7A	-0.8549086449541666	3.9485704139269605e-4	0.028806909773297678
grlA	KLHDC7A	-0.8624129390959739	3.068022760466627e-4	0.026684852648350806
yieF	KLHDC7A	0.8818839315552858	1.4802174882230857e-4	0.021428643041757036
yigA	KLHDC7A	0.8055582092314058	0.0015631940462225728	0.045991222928859446
soxS	KLHDC7A	-0.8729804101999659	2.095926635718771e-4	0.023924169303724745
E2348C_4405	KLHDC7A	0.8139311554436753	0.0012733912722595938	0.04296522872817494
E2348_P1_034	KLHDC7A	0.8150800629474014	0.001237104513074174	0.042558593199239256
cspD	PLA2G2A	0.8224401982396179	0.0010231263448824096	0.039468287056381716
narH	PLA2G2A	0.8697219190974107	2.3653753647539507e-4	0.02467046022241419
E2348C_1442	PLA2G2A	0.8043620426351753	0.0016084069337222078	0.0464117297684982
yegP	PLA2G2A	0.824953801093087	9.570143953619929e-4	0.03877637912166817
napG	PLA2G2A	0.8233861101360794	9.978470447452867e-4	0.039303344378714467
napA	PLA2G2A	0.8472349869003576	5.040412891075548e-4	0.03102654157395393
elaB	PLA2G2A	0.8973120871280569	7.551475896349491e-5	0.017330224134533292
espC	PLA2G2A	0.9318541079153996	1.0315097338821093e-5	0.010230135310940181
ansB	PLA2G2A	0.819471744878882	0.0011056754883723091	0.040749553232100735
yhbC	PLA2G2A	0.8397374773732887	6.32031360764771e-4	0.03339822171134231
cesD2	PLA2G2A	0.8362678225628907	6.991556955403314e-4	0.034716976726967656
espA	PLA2G2A	0.841145371122521	6.062650528300942e-4	0.03307168110438127
cesT	PLA2G2A	0.8883317930007995	1.1305966792719366e-4	0.019705160686916905
nrfA	PLA2G2A	0.8231188719123133	0.0010049395554926784	0.039369361224648215
guaC	SLC30A2	-0.7976918151712784	0.001879222950625325	0.0491232941298868
E2348C_0246	SLC30A2	0.8319924282244457	7.893082519026384e-4	0.03602203574318191
yahA	SLC30A2	-0.7984973240309039	0.0018447867295440428	0.0487586412803274
iraP	SLC30A2	0.8074555695496114	0.0014934854933467336	0.04535839394083551
gsk	SLC30A2	-0.8227379434032384	0.0010151165335361874	0.03944775997571451
ompT	SLC30A2	-0.8004174280486123	0.0017646498170681769	0.04810072560435124
E2348C_1041	SLC30A2	-0.8185683507242658	0.0011317883043247185	0.04108576199528967
E2348C_1081	SLC30A2	-0.8768845816344669	1.805307096014837e-4	0.022782300726164988
E2348C_1441	SLC30A2	-0.8447591484012528	5.43843473757233e-4	0.031864427215844704
pptA	SLC30A2	0.8565672508582235	3.738897787839758e-4	0.02846016338173974
ypeC	SLC30A2	0.8774694558650996	1.764634058176988e-4	0.022585954461037193
E2348C_2675	SLC30A2	0.8208288294414606	0.001067323780383553	0.04017165526792094
hda	SLC30A2	-0.8464309815725692	5.167100956667901e-4	0.031320151792750495
yfgH	SLC30A2	-0.8725441850939865	2.1305370856612165e-4	0.024050347693925077
E2348C_2741	SLC30A2	0.7982326235198646	0.001856049127695409	0.048873668943969606
iscX	SLC30A2	0.8156917764717017	0.0012181118631311263	0.042322522373041974
E2348C_2912	SLC30A2	-0.8232518189333385	0.001001406295466782	0.039303344378714467
E2348C_3230	SLC30A2	-0.8053530749682966	0.0015708775766624307	0.0460688931110648
E2348C_3231	SLC30A2	-0.8352328210541067	7.202090238276771e-4	0.03516298607215757
yghJ	SLC30A2	-0.8322392843591335	7.838708013509117e-4	0.03598734946411308
yhbX	SLC30A2	-0.8643984172308504	2.862923973229136e-4	0.026164817487965425
secG	SLC30A2	-0.8197213276405514	0.0010985437504947453	0.04063556531624417
yhdV	SLC30A2	0.81227821830055	0.0013270270501500965	0.04353870274958773
EBG00001076494	SLC30A2	0.8309713213578418	8.121103516121643e-4	0.03637715768966031
yheU	SLC30A2	0.8055395519299171	0.0015638916811360497	0.045991222928859446
espF	SLC30A2	-0.8764205318811624	1.838095764811705e-4	0.022991201142720182
E2348C_3931	SLC30A2	-0.8931665254168824	9.137919028252298e-5	0.01838704480694276
cesD2	SLC30A2	-0.8298883084423102	8.36847593007242e-4	0.036717390519748414
eaeA	SLC30A2	-0.8018724079974942	0.0017057237653915448	0.047514416993919235
grlA	SLC30A2	-0.8769487930165569	1.8008062999128098e-4	0.022782300726164988
yjiA	SLC30A2	-0.8480931908736252	4.907857383251243e-4	0.03076532193437439
E2348_P1_034	SLC30A2	0.9357072132498473	7.761525168488406e-6	0.009616755122247505
E2348_P1_040	SLC30A2	-0.8194624217312446	0.0011059425832460786	0.040749553232100735
nhaA	GPR3	0.833949149779129	7.469981264109916e-4	0.035552776942155015
guaC	GPR3	0.8162846247783571	0.0011999198561517478	0.042044504642812584
E2348C_0153	GPR3	0.8720231741015141	2.172457217616243e-4	0.024173821559307578
dxr	GPR3	-0.8837632220366433	1.3706351009348127e-4	0.020803585527581783
E2348C_0246	GPR3	-0.8270242944152184	9.050750304279677e-4	0.037845409165080675
ecpC	GPR3	-0.9158328559621459	2.8843383532388233e-5	0.013942050763492517
ecpB	GPR3	-0.8119166934708666	0.0013389860854613805	0.043615480757727795
ecpR	GPR3	-0.8433129785790765	5.681940288033592e-4	0.032262054794610355
yahA	GPR3	0.8381145834100685	6.627757791331401e-4	0.034069344862081324
phoR	GPR3	0.8875272933001646	1.1702741178746486e-4	0.01991843523890868
fepG	GPR3	-0.8136239388622906	0.0012832316082714468	0.04306878435904888
E2348C_0686	GPR3	0.9070573260684966	4.664836448734579e-5	0.01588572219241779
E2348C_0718	GPR3	0.827257510189967	8.99363980825967e-4	0.03771395397003737
yliE	GPR3	0.8269798738763162	9.061659784859935e-4	0.03785486823891838
yliF	GPR3	0.8156258943626822	0.0012201465350666202	0.042335937282140745
rarA	GPR3	-0.8465315057265309	5.151127590035042e-4	0.03126559598299676
cspH	GPR3	0.8818312533188637	1.4833848825687758e-4	0.021429493287098787
chaC	GPR3	-0.8407102064419505	6.141405825086679e-4	0.033177257777063464
tyrT	GPR3	0.8571903738724573	3.6624037406952947e-4	0.028298985690351216
tdk	GPR3	0.8024301890755606	0.0016835385619194604	0.0472618857772403
E2348C_1441	GPR3	0.8496529997760008	4.6738735868945665e-4	0.030407900104081564
pptA	GPR3	-0.7997535272370866	0.0017920501213793203	0.048307287835979165
E2348C_1829	GPR3	0.8031965628276476	0.0016534184582691256	0.046922702162127974
gdhA	GPR3	-0.8398641456856826	6.296790584002497e-4	0.03339822171134231
ydjF	GPR3	0.8140611903997095	0.0012692437018865328	0.042898408460096016
ptrB	GPR3	-0.885347499182006	1.2832782856084265e-4	0.020537518365479603
uspC	GPR3	-0.823118503443706	0.0010049493614196579	0.039369361224648215
E2348C_2119	GPR3	0.8549191373152032	3.9472159352931804e-4	0.028804065532115234
asnW	GPR3	0.8155816689277168	0.0012215138389953355	0.042345356332009566
yohJ	GPR3	-0.822570031523277	0.00101962765776666	0.039468287056381716
E2348C_2486	GPR3	0.7966725163993682	0.0019235020677746558	0.04946212933546432
ypeC	GPR3	-0.8411732933181953	6.057624065571027e-4	0.03306092250337413
cysK	GPR3	0.8417618460974139	5.952423737091726e-4	0.03285776691128377
cysA	GPR3	0.8977900653282932	7.383473206938887e-5	0.01731914028422524
cysP	GPR3	0.8152145123973507	0.0012329106862587163	0.04249734830670325
xseA	GPR3	0.8187560516694078	0.0011263240772641273	0.041020536546804764
raiA	GPR3	-0.7972675825132951	0.0018975560374478546	0.049250031996362804
E2348C_2912	GPR3	0.828869447381434	8.606470610516316e-4	0.03706546334142629
E2348C_2918	GPR3	0.8102983833483122	0.0013935379339961394	0.044256282055016596
stpA	GPR3	0.839594279409152	6.346988163840185e-4	0.03342615196882714
mprA	GPR3	0.8043578259052481	0.001608568072576284	0.0464117297684982
hypF	GPR3	-0.7974798108531896	0.0018883676152338172	0.049161107246251896
cysN	GPR3	0.8224431908068672	0.0010230455985061977	0.039468287056381716
cysH	GPR3	0.8611929662615221	3.1996041066895386e-4	0.026906157186381105
cysI	GPR3	0.9132092147022597	3.3476393194789413e-5	0.01437595929669616
cysJ	GPR3	0.8836913248950731	1.3747069887798649e-4	0.020816214761237337
yqeG	GPR3	0.8718845647915382	2.183717248967356e-4	0.024173821559307578
yqfA	GPR3	-0.809004237276844	0.0014383784279666072	0.04473580136042045
E2348C_3220	GPR3	0.8593344015925671	3.4084588706448333e-4	0.027542101195315055
gspD	GPR3	0.8377178691017698	6.704642586261851e-4	0.03412396396996391
gspC	GPR3	0.861953626524785	3.1170579843661274e-4	0.026741516101128706
yghG	GPR3	0.8456557987985396	5.291572476350286e-4	0.031569335111802835
yqhA	GPR3	0.8025823350142489	0.0016775256964295779	0.047203094431591645
EBG00001076494	GPR3	-0.7954965887292321	0.0019755728304813804	0.049935961557238145
chuT	GPR3	-0.8390409884489344	6.450873910165347e-4	0.03369371444496823
rfaI	GPR3	-0.8259689575185368	9.312692204397242e-4	0.03825501373065731
yicE	GPR3	0.8762238784814497	1.8521303345645654e-4	0.023053656968861466
mpc	GPR3	0.8306860475463148	8.185707707981391e-4	0.03646540283366339
espG	GPR3	0.8281495857470811	8.777748583132166e-4	0.03740671319273246
E2348C_3971	GPR3	0.8069119126309815	0.0015132102025815597	0.04555135141890009
yieF	GPR3	-0.8364586968356914	6.953256329912948e-4	0.034633595657214106
yigA	GPR3	-0.8492521081988138	4.733165447387031e-4	0.030442588035710053
yjbJ	GPR3	-0.7959574985956279	0.001955036532219079	0.04973949492972726
E2348C_4376	GPR3	-0.8321966713902661	7.848073549674912e-4	0.03598734946411308
glyX	GPR3	0.8407771854592947	6.12923278076551e-4	0.03315191239070931
glyY	GPR3	0.8886029610453912	1.1174630186317509e-4	0.019642436250636674
leuX	GPR3	0.8271315305803809	9.024455371146355e-4	0.037775650349008046
traT	GPR3	0.8022116973742913	0.00169220233121613	0.047352803796750415
yfgH	SESN2	-0.8221897243909616	0.0010299021437244606	0.03957248289104147
espC	SESN2	-0.7989671255931131	0.0018249267438946377	0.04858168408958941
yheU	SESN2	0.8032005700128394	0.0016532620616925328	0.046922702162127974
cesT	SESN2	-0.8049205385358618	0.0015871736810928686	0.04624251968157061
E2348_P1_040	SESN2	-0.8090513360026366	0.0014367273353752534	0.04471239215289869
cybB	TRIM62	-0.7977898735585988	0.0018750047574078148	0.049101266605688344
ynjC	TRIM62	0.824663443212523	9.644781071614411e-4	0.03886295028987008
fhuA	ZSCAN20	0.8663481653433591	2.6720687546855873e-4	0.02574738224115278
betI	ZSCAN20	-0.8242440838121593	9.753369972828601e-4	0.03900381403651342
codA	ZSCAN20	-0.8058942588459798	0.00155066930611062	0.045880260463514455
fes	ZSCAN20	0.8385842436366839	6.537619947179828e-4	0.03383901095419622
entB	ZSCAN20	0.8137028726012375	0.0012806977479945965	0.04304153424171914
entA	ZSCAN20	0.8320595631463757	7.878266076935558e-4	0.03599982392069761
glnU	ZSCAN20	-0.8036277040035507	0.0016366563891553809	0.0467267824591387
osmB	ZSCAN20	0.811765395445438	0.0013440154590497685	0.043660160205554056
yncE	ZSCAN20	0.8051192708002021	0.0015796702789415212	0.046186137600471154
ydiH	ZSCAN20	0.8314416771259507	8.015445972300785e-4	0.03619325964017614
spy	ZSCAN20	0.7977029291844943	0.0018787444925110984	0.04912210776736747
yecE	ZSCAN20	0.8489527931001682	4.7778135005510663e-4	0.030501709361008177
E2348C_2556	ZSCAN20	0.7955937581051312	0.001971229680316398	0.04989230606609081
nrdH	ZSCAN20	0.7979865043869073	0.0018665681113175176	0.049008039870577565
ptsP	ZSCAN20	0.8066429178166308	0.0015230434045704715	0.04562552820744346
xerC	ZSCAN20	0.7991949615481361	0.0018153545913609601	0.04853691698089653
hemG	ZSCAN20	-0.81686302746671835	0.0011823733794135351	0.04181238575712436
psiE	ZSCAN20	0.805137670935244	0.0015789769367446276	0.0461754590337104
groL	ZSCAN20	-0.9127663723492231	3.431300542716642e-5	0.014484744464693654
yccJ	ATP6V0CP4	0.8267359642407157	9.121743874765838e-4	0.03797910575531848
napG	ATP6V0CP4	0.7977793035912114	0.0018754590983244663	0.049101266605688344
yhbC	ATP6V0CP4	0.837173582166644	6.811248679288781e-4	0.034282834145001155
yiaG	ATP6V0CP4	0.835403495370927	7.167039494011715e-4	0.03507461495287172
cesT	ATP6V0CP4	0.9278163610347064	1.36604876311824e-5	0.011297740469409918
oxyR	ATP6V0CP4	0.8174052783682481	0.0011661036378089722	0.04155693315092325
soxS	ATP6V0CP4	0.8253057055967468	9.480284299525424e-4	0.038578219862961144
thrC	PLK3	-0.8180648901109094	0.0011465455788881218	0.04126375667463739
yaaA	PLK3	0.795811302905461	0.0019615326446221874	0.04979591859450373
nhaA	PLK3	0.8445429742229814	5.47430997604101e-4	0.03194480945916107
guaC	PLK3	0.9598161594309387	7.712534604746961e-7	0.005534263333623861
E2348C_0153	PLK3	0.8783735212664301	1.703176266043028e-4	0.022442883757923915
E2348C_0246	PLK3	-0.8048182795454428	0.0015910452474175716	0.046262314804524876
ecpC	PLK3	-0.8844538671674902	1.3319991719927464e-4	0.020694700621109337
ecpR	PLK3	-0.8632131455104265	2.984030944706378e-4	0.02653638074854635
yahA	PLK3	0.9578417737187436	9.77011638615664e-7	0.005534263333623861
maa	PLK3	0.7998301425354198	0.001788871547176405	0.04830424513487784
ompT	PLK3	0.8994977433801259	6.80706097692543e-5	0.01693042326612275
E2348C_0686	PLK3	0.9498496251212392	2.2959942982613423e-6	0.006676948417810999
E2348C_0718	PLK3	0.89251040597861	9.411257228225996e-5	0.01863566230697382
yliE	PLK3	0.8993182025695787	6.865944207216679e-5	0.01693042326612275
rarA	PLK3	-0.9088254743040434	4.250639568414486e-5	0.015497759205933773
cspH	PLK3	0.8422042036487821	5.874291038475996e-4	0.03265869577052994
chaC	PLK3	-0.8604943332141478	3.2769087854015664e-4	0.027113383129713925
