Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Gene Ratio
N45,"KEGG JAK STAT
SIGNALING PATHWAY",KEGG_JAK_STAT_SIGNALING_PATHWAY,4/22,83/3511,0.0015353529654364843,0.01791245126342565,0.014545449146240378,SPRY2/SPRY4/SPRY1/MYC,4,0.18181818181818182
N45,"KEGG COLORECTAL
CANCER",KEGG_COLORECTAL_CANCER,3/22,57/3511,0.0050199328563608515,0.04392441249315745,0.03566794397940605,FOS/MYC/JUN,3,0.13636363636363635
N90,"KEGG JAK STAT
SIGNALING PATHWAY",KEGG_JAK_STAT_SIGNALING_PATHWAY,10/65,83/3511,1.957425370372246e-6,8.102377209207406e-5,6.180302981851568e-5,SPRY4/MYC/SPRY2/LIF/SPRY1/SOCS3/CCND1/IL11/SPRED1/CLCF1,10,0.15384615384615385
N90,"KEGG CYTOKINE
CYTOKINE RECEPTOR
INTERACTION",KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,11/65,105/3511,2.3485151331035957e-6,8.102377209207406e-5,6.180302981851568e-5,BMP2/LIF/CXCL2/CXCL3/CCL2/TNFSF15/IL11/TNFRSF12A/VEGFA/TNFSF9/CLCF1,11,0.16923076923076924
N90,"KEGG MAPK SIGNALING
PATHWAY",KEGG_MAPK_SIGNALING_PATHWAY,13/65,202/3511,5.909638389311701e-5,0.001359216829541691,0.0010367786647915264,DUSP6/NR4A1/FOS/DUSP5/DUSP1/DUSP4/MYC/GADD45B/DUSP2/MAP3K8/DUSP16/MAP3K14/JUN,13,0.2
N90,"KEGG ERBB SIGNALING
PATHWAY",KEGG_ERBB_SIGNALING_PATHWAY,6/65,70/3511,0.0016531302920905647,0.02851649753856224,0.021751714369612693,AREG/MYC/CDKN1B/HBEGF/EREG/JUN,6,0.09230769230769231
N180,"KEGG MAPK SIGNALING
PATHWAY",KEGG_MAPK_SIGNALING_PATHWAY,23/135,202/3511,1.5469503576026637e-6,1.8408709255471697e-4,1.7260709253250775e-4,DUSP6/FOS/NR4A1/MYC/DUSP5/DUSP4/DUSP16/DUSP2/DUSP1/GADD45B/HSPA1B/TGFBR2/HSPA1A/NFKB2/PLA2G2A/MECOM/JUND/CACNB2/MAP3K8/JUN/DUSP7/FGFR1/IL1R1,23,0.17037037037037037
N180,"KEGG CYTOKINE
CYTOKINE RECEPTOR
INTERACTION",KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,14/135,105/3511,3.6007016051439464e-5,0.002142417455060648,0.002008812474448728,CXCL3/BMP2/TNFRSF10A/CXCL2/LIF/TGFBR2/IL11/TNFRSF10B/TNFRSF21/TNFRSF11B/CXCR4/CLCF1/IL1R1/CCL2,14,0.1037037037037037
N180,"KEGG JAK STAT
SIGNALING PATHWAY",KEGG_JAK_STAT_SIGNALING_PATHWAY,12/135,83/3511,5.9690575451108164e-5,0.0023677261595606235,0.0022200705255499883,MYC/SPRY4/CCND1/SPRY1/LIF/IL11/SPRY2/SPRED1/CCND3/BCL2L1/SOCS3/CLCF1,12,0.08888888888888889
N180,"KEGG P53 SIGNALING
PATHWAY",KEGG_P53_SIGNALING_PATHWAY,10/135,62/3511,9.85227367276278e-5,0.002931051417646927,0.002748265813981197,CCND1/GADD45B/TNFRSF10B/SESN2/THBS1/CDKN1A/CCND3/CASP9/SESN1/PMAIP1,10,0.07407407407407407
N180,"KEGG CIRCADIAN
RHYTHM MAMMAL",KEGG_CIRCADIAN_RHYTHM_MAMMAL,4/135,12/3511,8.1373097408728e-4,0.019366797183277266,0.018159049105947726,BHLHE40/PER2/NR1D1/PER1,4,0.02962962962962963
N180,"KEGG COLORECTAL
CANCER",KEGG_COLORECTAL_CANCER,8/135,57/3511,0.001304453018090039,0.025871651525452437,0.024258249108341075,FOS/MYC/CCND1/TGFBR2/AXIN2/JUN/CASP9/RALGDS,8,0.05925925925925926
N180,"KEGG PATHWAYS IN
CANCER",KEGG_PATHWAYS_IN_CANCER,20/135,256/3511,0.0015485010503030422,0.02632451785515172,0.0246828738845297,FOS/MYC/CCND1/BMP2/CDKN1B/TGFBR2/SLC2A1/NFKB2/AXIN2/MECOM/SHH/TRAF4/CDKN1A/FOXO1/JUN/BCL2L1/CASP9/FGFR1/WNT10B/RALGDS,20,0.14814814814814814
