length	gc
ENSG00000157873	6219	0.635793535938254
ENSG00000225931	1297	0.64148033924441
ENSG00000228037	626	0.484025559105431
ENSG00000157870	3371	0.626520320379709
ENSG00000142606	3870	0.573643410852713
ENSG00000215912	8814	0.570456092579986
ENSG00000177133	5600	0.613392857142857
ENSG00000142611	9767	0.569878161154909
ENSG00000279839	2677	0.590586477400075
ENSG00000130762	5324	0.630353117956424
ENSG00000272088	382	0.403141361256545
ENSG00000162591	9021	0.610242766877286
ENSG00000158109	2401	0.541857559350271
ENSG00000116213	7634	0.553445113963846
ENSG00000078900	6767	0.614748041968376
ENSG00000235169	1087	0.692732290708372
ENSG00000130764	4509	0.563539587491683
ENSG00000272153	531	0.538606403013183
ENSG00000116198	11885	0.489861169541439
ENSG00000169598	3870	0.530232558139535
ENSG00000198912	4388	0.467411121239745
ENSG00000236423	4084	0.561459353574927
ENSG00000131697	13167	0.52046783625731
ENSG00000069424	17329	0.58814703675919
ENSG00000116251	4665	0.521114683815648
ENSG00000158286	6595	0.588324488248673
ENSG00000116237	4910	0.511812627291242
ENSG00000225077	2358	0.527989821882952
ENSG00000158292	4198	0.62553596950929
ENSG00000097021	4124	0.547041707080504
ENSG00000187017	6952	0.678653624856157
ENSG00000215788	4263	0.594182500586441
ENSG00000171680	6935	0.568132660418169
ENSG00000162408	7271	0.515747490028882
ENSG00000204859	4510	0.611529933481153
ENSG00000162413	6901	0.589045065932474
ENSG00000116273	3632	0.540198237885463
ENSG00000041988	4072	0.589390962671906
ENSG00000007923	5083	0.48121188274641
ENSG00000237436	415	0.595180722891566
ENSG00000171735	9903	0.481975159042714
ENSG00000049245	2733	0.431028174167581
ENSG00000269925	393	0.366412213740458
ENSG00000049246	8099	0.437461414989505
ENSG00000116288	2397	0.493950771798081
ENSG00000284747	4116	0.470602526724976
ENSG00000116285	4179	0.401292175161522
ENSG00000142599	14112	0.45578231292517
ENSG00000232912	1178	0.49660441426146
ENSG00000224315	703	0.419630156472262
ENSG00000222511	103	0.339805825242718
ENSG00000228423	353	0.475920679886686
ENSG00000074800	5216	0.510161042944785
ENSG00000230679	456	0.489035087719298
ENSG00000197241	1539	0.549707602339181
ENSG00000142583	6632	0.463661037394451
ENSG00000180758	5304	0.490573152337858
ENSG00000228526	8702	0.515398758905999
ENSG00000234546	2141	0.530126109294722
ENSG00000049239	9322	0.565436601587642
ENSG00000171621	3389	0.56447329595751
ENSG00000171612	3865	0.458990944372574
ENSG00000231181	559	0.445438282647585
ENSG00000188807	6981	0.616960320870935
ENSG00000171608	6333	0.576030317385126
ENSG00000231789	939	0.547390841320554
ENSG00000171603	5241	0.470139286395726
ENSG00000178585	3339	0.549565738244984
ENSG00000162441	5459	0.432130426818099
ENSG00000228150	440	0.436363636363636
ENSG00000173614	4610	0.468763557483731
ENSG00000202415	319	0.5141065830721
ENSG00000130939	9237	0.457291328353362
ENSG00000233623	680	0.530882352941176
ENSG00000201746	107	0.429906542056075
ENSG00000054523	17955	0.445948203842941
ENSG00000284642	1477	0.451591062965471
ENSG00000142657	3333	0.529252925292529
ENSG00000175279	1748	0.480549199084668
ENSG00000160049	6625	0.477433962264151
ENSG00000142655	2932	0.603342428376535
ENSG00000130940	11336	0.568278052223006
ENSG00000120948	5317	0.417152529621967
ENSG00000271895	870	0.429885057471264
ENSG00000116649	1894	0.636219640971489
ENSG00000171824	5991	0.450342179936572
ENSG00000226849	2682	0.502609992542878
ENSG00000198793	12163	0.460412727123243
ENSG00000120942	5090	0.523379174852652
ENSG00000204624	6120	0.613071895424837
ENSG00000116661	3163	0.535567499209611
ENSG00000132879	3527	0.589169265664871
ENSG00000116663	1735	0.595389048991354
ENSG00000116670	3324	0.530986762936221
ENSG00000177674	2435	0.565913757700205
ENSG00000177000	11513	0.540085121167376
ENSG00000011021	8173	0.529793221583262
ENSG00000116685	3281	0.601036269430052
ENSG00000083444	5320	0.568796992481203
ENSG00000116688	10234	0.517979284737151
ENSG00000116691	2821	0.638780574264445
ENSG00000028137	3778	0.594494441503441
ENSG00000048707	20768	0.458253081664099
ENSG00000239149	152	0.539473684210526
ENSG00000162496	3515	0.462019914651494
ENSG00000221340	101	0.475247524752475
ENSG00000272482	345	0.556521739130435
ENSG00000116731	10923	0.453629955140529
ENSG00000189337	13860	0.552453102453102
ENSG00000175147	11973	0.494946964002339
ENSG00000171729	2238	0.562109025915996
ENSG00000142634	2534	0.61878453038674
ENSG00000132906	5269	0.51356993736952
ENSG00000116138	8563	0.446689244423683
ENSG00000272510	346	0.372832369942197
ENSG00000116771	3095	0.522132471728594
ENSG00000235084	447	0.612975391498881
ENSG00000197312	12178	0.425028740351453
ENSG00000116786	4134	0.626269956458636
ENSG00000162461	3338	0.595566207309766
ENSG00000162460	1443	0.655578655578656
ENSG00000162458	4351	0.581015858423351
ENSG00000233954	2180	0.469266055045872
ENSG00000179743	2473	0.570157703194501
ENSG00000065526	14336	0.513113839285714
ENSG00000116809	4240	0.517452830188679
ENSG00000185519	1720	0.647674418604651
ENSG00000142627	4141	0.575706351122917
ENSG00000227959	904	0.633849557522124
ENSG00000224621	544	0.503676470588235
ENSG00000142632	3788	0.566525871172122
ENSG00000288398	2662	0.563486100676183
ENSG00000132881	1574	0.594027954256671
ENSG00000037637	9009	0.435675435675436
ENSG00000055070	4742	0.543019822859553
ENSG00000157191	5510	0.493284936479129
ENSG00000226029	3245	0.459167950693374
ENSG00000080947	6905	0.569442433019551
ENSG00000219481	12212	0.453160825417622
ENSG00000215908	5606	0.542097752408134
ENSG00000186301	2291	0.612832824094282
ENSG00000268869	4903	0.617581072812564
ENSG00000279151	406	0.5935960591133
ENSG00000058453	8875	0.645070422535211
ENSG00000186715	5298	0.470554926387316
ENSG00000238142	2130	0.456807511737089
ENSG00000272426	438	0.408675799086758
ENSG00000117122	2712	0.621312684365782
ENSG00000159363	5253	0.586331620026652
ENSG00000117118	2324	0.420826161790017
ENSG00000117115	6000	0.526666666666667
ENSG00000142623	4903	0.565980012237406
ENSG00000179051	4079	0.604314783035058
ENSG00000074964	7954	0.602967060598441
ENSG00000179023	5145	0.577648202137998
ENSG00000159423	3632	0.559746696035242
ENSG00000169991	6179	0.549765334196472
ENSG00000272084	3402	0.559376837154615
ENSG00000127481	24661	0.416163172620737
ENSG00000230424	507	0.512820512820513
ENSG00000127463	9602	0.457717142262029
ENSG00000053372	2556	0.543427230046948
ENSG00000211454	2768	0.562861271676301
ENSG00000162482	1215	0.563786008230453
ENSG00000053371	1781	0.576080853453116
ENSG00000200403	107	0.401869158878505
ENSG00000040487	2686	0.619136262099777
ENSG00000077549	19094	0.5
ENSG00000173436	5480	0.483576642335766
ENSG00000158747	3448	0.620649651972158
ENSG00000226396	455	0.553846153846154
ENSG00000162542	4054	0.523926985693143
ENSG00000178828	1255	0.580876494023904
ENSG00000169914	6885	0.444589687726943
ENSG00000188257	1685	0.50919881305638
ENSG00000284743	674	0.464391691394659
ENSG00000162545	2605	0.570441458733205
ENSG00000090432	2428	0.490939044481054
ENSG00000158825	820	0.56219512195122
ENSG00000158828	4833	0.546865301055245
ENSG00000117242	4443	0.492685122664866
ENSG00000244038	2721	0.533627342888644
ENSG00000117245	4470	0.589709172259508
ENSG00000189410	4487	0.637174058390907
ENSG00000127483	9815	0.44696892511462
ENSG00000075151	9596	0.455606502709462
ENSG00000236073	115	0.417391304347826
ENSG00000117298	7308	0.559386973180077
ENSG00000142794	6812	0.485613623018203
ENSG00000076864	5755	0.600695047784535
ENSG00000090686	9497	0.429925239549331
ENSG00000187942	4494	0.623943035157988
ENSG00000142798	18118	0.563527983221106
ENSG00000218510	3764	0.492561105207226
ENSG00000070831	16278	0.42099766556088
ENSG00000230068	692	0.393063583815029
ENSG00000184677	9169	0.508452393936089
ENSG00000237200	273	0.490842490842491
ENSG00000070886	5434	0.632131026867869
ENSG00000133216	12516	0.558165548098434
ENSG00000004487	5440	0.466727941176471
ENSG00000169641	9658	0.497722095671982
ENSG00000179546	2835	0.487477954144621
ENSG00000261326	6182	0.369459721772889
ENSG00000125944	8704	0.375459558823529
ENSG00000125945	4786	0.504805683242792
ENSG00000249087	2674	0.50261780104712
ENSG00000271420	650	0.447692307692308
ENSG00000204219	3675	0.525442176870748
ENSG00000088280	4988	0.540296712109062
ENSG00000007968	5462	0.549432442328817
ENSG00000117318	1496	0.56951871657754
ENSG00000142676	2659	0.482888303873637
ENSG00000236810	3086	0.448152948801037
ENSG00000011007	5391	0.491745501762196
ENSG00000057757	2173	0.490566037735849
ENSG00000011009	2021	0.617516081147947
ENSG00000117308	3955	0.610619469026549
ENSG00000117305	5628	0.451670220326937
ENSG00000179163	2043	0.549192364170338
ENSG00000189266	2763	0.397756062251176
ENSG00000188529	11860	0.391315345699831
ENSG00000142661	9214	0.515845452572173
ENSG00000142677	2817	0.531416400425985
ENSG00000185436	4940	0.497165991902834
ENSG00000001460	8511	0.484431911643755
ENSG00000001461	9396	0.469029374201788
ENSG00000286061	762	0.469816272965879
ENSG00000117602	7138	0.427991033903054
ENSG00000264443	1445	0.496193771626298
ENSG00000184454	4146	0.474915581283164
ENSG00000133226	7922	0.414163090128755
ENSG00000169504	4467	0.367808372509514
ENSG00000020633	4922	0.536570499796831
ENSG00000117614	3773	0.433342168036046
ENSG00000284602	2190	0.461187214611872
ENSG00000284657	760	0.561842105263158
ENSG00000117616	6730	0.426448736998514
ENSG00000259984	459	0.363834422657952
ENSG00000183726	3010	0.436544850498339
ENSG00000188672	2433	0.502260583641595
ENSG00000204178	3979	0.433777330987685
ENSG00000157978	5371	0.563396015639546
ENSG00000117643	9026	0.529802791934412
ENSG00000162430	4421	0.597149966071025
ENSG00000228172	2793	0.544933762978876
ENSG00000117640	5797	0.52561669829222
ENSG00000127423	2408	0.487956810631229
ENSG00000236528	849	0.560659599528857
ENSG00000182749	3244	0.555795314426634
ENSG00000207302	110	0.418181818181818
ENSG00000117632	6247	0.537057787738114
ENSG00000158006	3795	0.467457180500659
ENSG00000158014	3483	0.590008613264427
ENSG00000284309	941	0.521785334750266
ENSG00000175087	4560	0.391228070175439
ENSG00000142684	732	0.621584699453552
ENSG00000142675	3960	0.578535353535353
ENSG00000236155	3191	0.523346913193356
ENSG00000130695	5145	0.499319727891156
ENSG00000142669	876	0.598173515981735
ENSG00000158062	4704	0.50765306122449
ENSG00000176092	6895	0.560406091370558
ENSG00000117682	5608	0.499821683309558
ENSG00000225891	1261	0.437747819191118
ENSG00000198830	3189	0.436500470366886
ENSG00000117676	5884	0.575798776342624
ENSG00000260063	2000	0.5095
ENSG00000117713	15939	0.523244871070958
ENSG00000060642	5872	0.495742506811989
ENSG00000204160	5460	0.584615384615385
ENSG00000175793	1308	0.627675840978593
ENSG00000142751	4966	0.507652033830044
ENSG00000198746	2226	0.529200359389039
ENSG00000090273	2848	0.549859550561798
ENSG00000131910	1165	0.594849785407725
ENSG00000175707	1855	0.548787061994609
ENSG00000253368	1979	0.608388074785245
ENSG00000158246	2382	0.5848026868178
ENSG00000090020	6195	0.483131557707829
ENSG00000142784	5911	0.565048215192015
ENSG00000243659	282	0.390070921985816
ENSG00000186501	4476	0.581546023235031
ENSG00000241547	468	0.555555555555556
ENSG00000142765	5584	0.614792263610315
ENSG00000142733	5746	0.58527671423599
ENSG00000158195	5681	0.404154198204541
ENSG00000237429	283	0.526501766784452
ENSG00000126705	8297	0.549355188622394
ENSG00000126709	842	0.491686460807601
ENSG00000009780	4046	0.415472071181414
ENSG00000117758	3801	0.398579321231255
ENSG00000269971	184	0.418478260869565
ENSG00000117751	2815	0.493072824156305
ENSG00000252947	166	0.403614457831325
ENSG00000117748	1981	0.497728419989904
ENSG00000130768	2663	0.554262110401802
ENSG00000158156	5180	0.557722007722008
ENSG00000158161	6424	0.409869240348692
ENSG00000238231	367	0.514986376021798
ENSG00000126698	2892	0.454011065006916
ENSG00000130770	2225	0.481797752808989
ENSG00000130766	3462	0.595609474292317
ENSG00000130772	2017	0.489836390679227
ENSG00000204138	7317	0.469044690446904
ENSG00000229820	394	0.436548223350254
ENSG00000221216	119	0.470588235294118
ENSG00000180198	3888	0.536008230452675
ENSG00000242125	4088	0.466731898238748
ENSG00000200087	204	0.549019607843137
ENSG00000279443	2083	0.463754200672108
ENSG00000180098	4311	0.485270238923684
ENSG00000197989	4266	0.507266760431317
ENSG00000120656	2337	0.474967907573813
ENSG00000188060	2200	0.559545454545455
ENSG00000162419	6459	0.466326056665118
ENSG00000198492	3729	0.503352105122017
ENSG00000159023	19993	0.4396538788576
ENSG00000253304	2606	0.712202609363008
ENSG00000116350	8806	0.425278219395866
ENSG00000116353	4138	0.473417109714838
ENSG00000060656	6682	0.616881173301407
ENSG00000186056	4024	0.581013916500994
ENSG00000162511	3228	0.554213135068154
ENSG00000162512	7065	0.578343949044586
ENSG00000134644	6621	0.431354780244676
ENSG00000060688	3887	0.427579109853357
ENSG00000229447	437	0.391304347826087
ENSG00000121766	1921	0.484643414888079
ENSG00000168528	3452	0.602549246813441
ENSG00000284543	9848	0.471872461413485
ENSG00000229167	813	0.571955719557196
ENSG00000142910	5281	0.593069494413937
ENSG00000162517	2223	0.529014844804318
ENSG00000121753	7756	0.623388344507478
ENSG00000134668	7085	0.500635144671842
ENSG00000203620	2257	0.474523704031901
ENSG00000269967	587	0.504258943781942
ENSG00000184007	6708	0.44200954084675
ENSG00000121774	3544	0.468397291196388
ENSG00000121775	2787	0.551847865087908
ENSG00000025800	7457	0.47592865763712
ENSG00000084652	5114	0.538717246773563
ENSG00000224066	1357	0.560795873249816
ENSG00000160051	2463	0.548112058465286
ENSG00000160055	3571	0.514701764211705
ENSG00000084623	1725	0.531014492753623
ENSG00000220785	2961	0.512664640324215
ENSG00000116478	3966	0.505547150781644
ENSG00000175130	1546	0.671410090556274
ENSG00000162526	1849	0.547863710113575
ENSG00000225828	2845	0.614059753954306
ENSG00000160058	6741	0.487909805666815
ENSG00000160062	7077	0.407093401158683
ENSG00000176261	3531	0.436703483432455
ENSG00000162521	9470	0.425765575501584
ENSG00000162522	6020	0.62093023255814
ENSG00000134684	9897	0.475699706981914
ENSG00000116497	9190	0.415451577801959
ENSG00000160097	3199	0.597999374804626
ENSG00000121900	1417	0.605504587155963
ENSG00000116514	2610	0.563984674329502
ENSG00000004455	9625	0.464519480519481
ENSG00000276645	345	0.498550724637681
ENSG00000142920	9581	0.531572904707233
ENSG00000116525	3976	0.573440643863179
ENSG00000160094	3384	0.588652482269504
ENSG00000270115	469	0.481876332622601
ENSG00000134686	4975	0.478190954773869
ENSG00000222112	299	0.54180602006689
ENSG00000121903	5308	0.489449886963075
ENSG00000121904	18157	0.468910062234951
ENSG00000287703	1426	0.489481065918654
ENSG00000163866	10337	0.483989552094418
ENSG00000284773	3163	0.530192854884603
ENSG00000163867	9568	0.419314381270903
ENSG00000197056	5205	0.376560999039385
ENSG00000116560	7419	0.420676641056746
ENSG00000146463	7905	0.411891208096142
ENSG00000229994	886	0.427765237020316
ENSG00000142687	9619	0.446616072356794
ENSG00000020129	4917	0.612161887329673
ENSG00000239636	1030	0.528155339805825
ENSG00000116819	2272	0.628961267605634
ENSG00000126067	4528	0.410998233215548
ENSG00000142686	3049	0.546736634962283
ENSG00000092853	9591	0.456261078094046
ENSG00000134698	7423	0.446989087969824
ENSG00000092847	13890	0.465874730021598
ENSG00000126070	21153	0.390771994516144
ENSG00000116863	1651	0.587522713506965
ENSG00000054116	3527	0.546356677062659
ENSG00000116871	5271	0.638209068487953
ENSG00000054118	4720	0.47521186440678
ENSG00000214193	8142	0.613485630066323
ENSG00000142694	1211	0.68373245251858
ENSG00000196182	5618	0.50872196511214
ENSG00000181817	1506	0.51925630810093
ENSG00000116885	2788	0.458393113342898
ENSG00000116898	2863	0.52078239608802
ENSG00000119535	8429	0.536243919800688
ENSG00000233621	3019	0.471679364027824
ENSG00000163874	3091	0.615981882885797
ENSG00000163875	6061	0.459825111367761
ENSG00000163877	5718	0.445435466946485
ENSG00000134697	5747	0.434661562554376
ENSG00000116922	4434	0.520748759585025
ENSG00000134690	2406	0.512468827930175
ENSG00000183317	8152	0.539744847890088
ENSG00000185090	3018	0.606361829025845
ENSG00000196449	1848	0.556818181818182
ENSG00000197982	2231	0.641416405199462
ENSG00000188786	7989	0.433846538991113
ENSG00000204084	8930	0.485442329227324
ENSG00000183431	3894	0.485105290190036
ENSG00000183386	2004	0.6187624750499
ENSG00000183520	3381	0.418515232179828
ENSG00000116954	5116	0.464034401876466
ENSG00000228436	2004	0.517964071856287
ENSG00000214114	2773	0.47854309412189
ENSG00000174574	2688	0.446800595238095
ENSG00000168653	548	0.485401459854015
ENSG00000127603	42738	0.466587112171838
ENSG00000183682	5636	0.574520936834634
ENSG00000237624	1535	0.63257328990228
ENSG00000243970	5416	0.462518463810931
ENSG00000090621	6782	0.485992332645237
ENSG00000201457	135	0.518518518518518
ENSG00000163909	4077	0.500613195977434
ENSG00000084072	11124	0.470963682128731
ENSG00000116985	4826	0.585163696643183
ENSG00000198754	1826	0.633625410733844
ENSG00000261798	1196	0.641304347826087
ENSG00000284719	1744	0.430619266055046
ENSG00000043514	6533	0.438389713760906
ENSG00000116990	5063	0.561919810389097
ENSG00000168389	4007	0.540304467182431
ENSG00000228477	725	0.576551724137931
ENSG00000131236	3814	0.499475616151023
ENSG00000131238	3372	0.422894424673784
ENSG00000117000	6232	0.397785622593068
ENSG00000207508	107	0.383177570093458
ENSG00000259943	1541	0.404282933160286
ENSG00000084073	4022	0.404525111884635
ENSG00000084070	3601	0.509858372674257
ENSG00000187815	3173	0.452568547116294
ENSG00000238287	605	0.482644628099174
ENSG00000164002	3092	0.495472186287193
ENSG00000117010	3101	0.403418252176717
ENSG00000117016	7259	0.543325526932084
ENSG00000272145	1687	0.496147006520451
ENSG00000066136	5990	0.515525876460768
ENSG00000198974	92	0.510869565217391
ENSG00000117013	4408	0.634301270417423
ENSG00000179862	1310	0.735114503816794
ENSG00000171793	11164	0.456825510569688
ENSG00000281207	4800	0.561666666666667
ENSG00000171790	4310	0.580974477958237
ENSG00000010803	4447	0.458961097369013
ENSG00000204060	2398	0.706005004170142
ENSG00000127124	14625	0.448547008547009
ENSG00000044012	604	0.629139072847682
ENSG00000197273	597	0.604690117252931
ENSG00000198815	6896	0.4457656612529
ENSG00000177181	10638	0.463714984019553
ENSG00000127125	3412	0.462485345838218
ENSG00000186409	25206	0.415496310402285
ENSG00000171960	1446	0.511756569847856
ENSG00000285728	3315	0.493514328808446
ENSG00000065978	3395	0.505449189985272
ENSG00000164007	3602	0.589117157134925
ENSG00000117385	6766	0.503990540939994
ENSG00000164008	5286	0.460083238743852
ENSG00000274386	4373	0.461696775668877
ENSG00000177868	1353	0.541019955654102
ENSG00000164010	5720	0.476398601398601
ENSG00000228192	3776	0.412076271186441
ENSG00000164011	2036	0.516699410609037
ENSG00000117394	6614	0.554429996976111
ENSG00000284138	440	0.581818181818182
ENSG00000227533	4275	0.498947368421053
ENSG00000117395	3561	0.426565571468689
ENSG00000179178	2138	0.605706267539757
ENSG00000253313	1522	0.533508541392904
ENSG00000117400	3937	0.533655067310135
ENSG00000234694	661	0.546142208774584
ENSG00000117399	2012	0.575546719681909
ENSG00000066322	2506	0.620510774142059
ENSG00000159479	2704	0.480769230769231
ENSG00000198198	26354	0.542156788343325
ENSG00000229372	699	0.605150214592275
ENSG00000178922	2740	0.598540145985401
ENSG00000142949	10712	0.58709858103062
ENSG00000066135	5184	0.506751543209877
ENSG00000236200	4217	0.492767370168366
ENSG00000126091	19448	0.488790621143562
ENSG00000237950	2224	0.505845323741007
ENSG00000288573	557	0.545780969479354
ENSG00000117408	5072	0.578667192429022
ENSG00000132768	2930	0.559044368600683
ENSG00000117410	3239	0.561901821549861
ENSG00000117411	3772	0.626988335100742
ENSG00000159214	3563	0.602020769014875
ENSG00000196517	5249	0.568489236044961
ENSG00000178028	5599	0.514556170744776
ENSG00000117419	2785	0.552962298025135
ENSG00000233602	619	0.491114701130856
ENSG00000187147	9687	0.542169918447404
ENSG00000126106	3561	0.55068800898624
ENSG00000200169	116	0.379310344827586
ENSG00000142945	3646	0.513439385628086
ENSG00000225721	765	0.564705882352941
ENSG00000142937	2781	0.553398058252427
ENSG00000200913	104	0.480769230769231
ENSG00000173846	3327	0.601442741208296
ENSG00000188396	1355	0.62140221402214
ENSG00000222009	3520	0.568465909090909
ENSG00000117425	5334	0.52755905511811
ENSG00000070785	3411	0.441805922017004
ENSG00000126107	5072	0.571569400630915
ENSG00000126088	4029	0.536361379995036
ENSG00000162415	6095	0.485315832649713
ENSG00000281912	1710	0.569005847953216
ENSG00000186603	1785	0.608403361344538
ENSG00000132781	5811	0.506281190844949
ENSG00000132773	2358	0.544529262086514
ENSG00000070759	3319	0.485688460379632
ENSG00000280670	2757	0.510700036271309
ENSG00000132763	5049	0.478312537136067
ENSG00000117450	1504	0.486702127659574
ENSG00000117448	3121	0.543095161807113
ENSG00000132780	8304	0.447736030828516
ENSG00000159588	3323	0.574179957869395
ENSG00000159592	7433	0.409794161173147
ENSG00000225447	382	0.431937172774869
ENSG00000234329	788	0.501269035532995
ENSG00000159596	1465	0.418430034129693
ENSG00000197429	3708	0.392394822006472
ENSG00000230896	598	0.37123745819398
ENSG00000086015	8062	0.559414537335649
ENSG00000117461	7397	0.429768825199405
ENSG00000117472	2370	0.534599156118143
ENSG00000085998	6189	0.453869768944902
ENSG00000085999	4078	0.536047081902894
ENSG00000132128	8606	0.485010457820126
ENSG00000173660	1341	0.471290082028337
ENSG00000117481	8468	0.499881908360888
ENSG00000225779	370	0.348648648648649
ENSG00000117480	2724	0.613436123348018
ENSG00000079277	8071	0.470201957626069
ENSG00000142961	5916	0.531609195402299
ENSG00000123472	5677	0.468557336621455
ENSG00000159658	16312	0.415215792054929
ENSG00000142973	3466	0.519907674552799
ENSG00000187048	3890	0.493830334190231
ENSG00000225506	921	0.505971769815418
ENSG00000162365	3853	0.493122242408513
ENSG00000224805	661	0.543116490166415
ENSG00000162366	1430	0.576223776223776
ENSG00000162367	5700	0.544385964912281
ENSG00000123473	7291	0.414895076121245
ENSG00000162368	3844	0.367065556711759
ENSG00000237424	2509	0.586687923475488
ENSG00000186564	2648	0.654833836858006
ENSG00000269113	7524	0.532961190855928
ENSG00000117834	4535	0.535832414553473
ENSG00000132122	5938	0.426574604243853
ENSG00000142700	3168	0.601325757575758
ENSG00000185104	7549	0.430785534507882
ENSG00000123080	3018	0.576209410205434
ENSG00000123091	3112	0.413881748071979
ENSG00000085831	9362	0.530549027985473
ENSG00000261664	1222	0.581833060556465
ENSG00000085832	7378	0.413526701002982
ENSG00000227070	476	0.478991596638655
ENSG00000117859	10273	0.42402414095201
ENSG00000078618	6773	0.406909788867562
ENSG00000266993	1819	0.385376580538758
ENSG00000169213	12780	0.456103286384977
ENSG00000117862	2864	0.444134078212291
ENSG00000198841	1708	0.55327868852459
ENSG00000134717	5948	0.37373907195696
ENSG00000157077	5809	0.444654845928731
ENSG00000224255	706	0.447592067988669
ENSG00000213735	556	0.392086330935252
ENSG00000154222	7495	0.559439626417612
ENSG00000085840	3121	0.443768023069529
ENSG00000134748	5617	0.401815915969379
ENSG00000134744	16199	0.396320760540774
ENSG00000272371	456	0.434210526315789
ENSG00000116157	1692	0.510047281323877
ENSG00000182183	2684	0.556259314456036
ENSG00000162377	4148	0.479508196721312
ENSG00000162378	8206	0.399098220814039
ENSG00000228929	455	0.450549450549451
ENSG00000203995	4694	0.467192160204516
ENSG00000121310	11572	0.468890425164189
ENSG00000231866	175	0.337142857142857
ENSG00000116171	8253	0.418272143462983
ENSG00000162383	5413	0.527803436172178
ENSG00000157184	10089	0.433640598671821
ENSG00000236723	1227	0.440912795436023
ENSG00000162384	4504	0.472690941385435
ENSG00000259818	3591	0.471177944862155
ENSG00000162385	1363	0.381511371973588
ENSG00000226754	1941	0.472952086553323
ENSG00000157193	19668	0.554606467358145
ENSG00000058804	4720	0.447457627118644
ENSG00000058799	2036	0.495088408644401
ENSG00000211452	2282	0.473707274320771
ENSG00000081870	3236	0.439431396786156
ENSG00000116212	2164	0.473197781885397
ENSG00000116209	9149	0.416438955077058
ENSG00000280378	1755	0.478062678062678
ENSG00000116205	12168	0.458744247205786
ENSG00000215883	8926	0.482522966614385
ENSG00000116221	2549	0.528442526480973
ENSG00000157216	5227	0.504304572412474
ENSG00000198711	2624	0.497713414634146
