Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
22	hsa05169	Epstein-Barr virus infection	164/202	Disease	7.51985708536583e-07	9.41616887211026e-06	65	96.5555555555556	61	2.08884995395569e-08	2	0.661909688655643	0.316748061221849	0.333333333333333	25.1363376487307
23	hsa00072	Synthesis and degradation of ketone bodies	8/10	Metabolism	6.42464277346186e-07	9.41616887211026e-06	215	164.166666666667	137	1.94686205294697e-08	4	0.672247832937734	0.618244758825414	0.333333333333333	26.2136132391421
24	hsa05217	Basal cell carcinoma	41/55	Disease	7.95091804300403e-07	9.54110165160484e-06	20	130.611111111111	57	2.20858919890528e-08	1	0.942986115846245	0.662336956269723	0.333333333333333	38.8672527236485
25	hsa04530	Tight junction	131/170	Signaling	1.04274499051262e-06	1.18893682658638e-05	5	75.6944444444444	40.5	2.89651533074976e-08	1	0.614833759573405	0.238956918820803	0.333333333333333	38.3846264431153
26	hsa04340	Hedgehog signaling pathway	38/47	Signaling	1.11462827492473e-06	1.18893682658638e-05	50	134.25	125	3.09619133018824e-08	10	0.880834301618495	0.238017496601636	0.333333333333333	32.6225812822195
27	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	16/24	Metabolism	1.09737334144754e-06	1.18893682658638e-05	165	167.333333333333	164.5	3.04826090787971e-08	6	0.52384624311611	-0.446325395320326	-1	20.6771251970566
28	hsa04668	TNF signaling pathway	90/108	Signaling	1.17788531377951e-06	1.21153917988749e-05	5	67.25	65.5	3.27190552282583e-08	5	0.991380868230265	0.556711367709881	0.333333333333333	32.9754205282532
29	hsa03040	Spliceosome	127/134	Signaling	1.22069210154484e-06	1.21227353532729e-05	10	106.083333333333	92	3.39081340526208e-08	4	0.524927821900561	0.415790419731067	0.333333333333333	20.6612096969727
30	hsa04141	Protein processing in endoplasmic reticulum	153/166	Signaling	1.35124841551818e-06	1.29719847889746e-05	5	87.9722222222222	39	3.75347028637715e-08	2	0.814040220372683	0.331706928841919	0.333333333333333	27.2772211135463
31	hsa03320	PPAR signaling pathway	54/72	Signaling	1.43224993952652e-06	1.33060639543109e-05	140	124.444444444444	138	3.97847482418494e-08	1	0.970894249163268	0.565070015736203	0.333333333333333	53.5385753918101
32	hsa04064	NF-kappa B signaling pathway	65/95	Signaling	1.69624940907784e-06	1.52662446817005e-05	10	73.1666666666667	59.5	4.71180779930126e-08	8	0.687060142702059	0.370180439925738	0.333333333333333	27.58138068415
33	hsa05164	Influenza A	113/173	Disease	2.03723278743169e-06	1.77794861448584e-05	10	57.5	20.5	5.65898556930504e-08	2	0.811612659406585	0.444721015624542	0.333333333333333	30.7303938135791
34	hsa04144	Endocytosis	223/260	Signaling	2.14789448522751e-06	1.81939297572212e-05	20	98	73.5	5.96637979966759e-08	5	0.645827256275132	0.329565704346017	0.333333333333333	33.340231629089
35	hsa00785	Lipoic acid metabolism	3/3	Metabolism	2.23469823537626e-06	1.83883740510961e-05	100	104.25	51	6.77182017167614e-08	2	0.651848808578786	-0.652054486894498	-1	23.9491173578508
