Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
16	hsa04012	ErbB signaling pathway	69/86	Signaling	1.40476880280237e-06	2.52858384504426e-05	25	38.75	28	1.17064142272242e-07	13	0.739704259979895	0.743099971695862	1	46.3071100465861	24	39	53	146	17	13	23	32	22	44	37	15
17	hsa00440	Phosphonate and phosphinate metabolism	6/6	Metabolism	2.01628680257744e-06	3.41582705377826e-05	240	199.166666666667	221.5	1.83298968226779e-07	14	0.440448992335856	0.478589777633137	1	26.7860013274816	239	236	92	276	168	14	211	214	284	184	243	229
18	hsa00380	Tryptophan metabolism	27/40	Metabolism	2.36537452858409e-06	3.45724396169319e-05	135	120	119.5	1.97114757746786e-07	16	0.618419388129317	0.543796897749517	1	37.568707798167	133	201	64	144	105	16	132	92	152	107	82	212
19	hsa00620	Pyruvate metabolism	35/39	Metabolism	2.23498586889359e-06	3.45724396169319e-05	220	143.333333333333	159.5	1.86249013195503e-07	15	0.840390929392579	0.837062088770107	1	51.0564781524707	201	218	87	123	30	15	196	219	268	43	110	210
20	hsa05211	Renal cell carcinoma	58/65	Disease	2.40086386228693e-06	3.45724396169319e-05	20	56	27	2.00072208682652e-07	4	0.626728108281752	0.602988970168123	1	38.0735748127241	18	4	7	194	57	17	21	11	85	105	120	33
21	hsa05202	Transcriptional misregulation in cancer	114/180	Disease	2.52282713302813e-06	3.45987721101001e-05	115	85.4166666666667	109.5	2.10235837513931e-07	2	0.778423750269949	0.818290836618049	1	47.2876289827427	122	112	2	70	23	18	107	134	129	9	186	113
22	hsa00670	One carbon pool by folate	17/20	Metabolism	3.33230267096899e-06	4.17262247495247e-05	5	34.4166666666667	29	2.77692313368638e-07	2	0.816155433931532	-0.816155433931532	-1	48.6758816543379	31	2	42	56	27	126	44	5	6	26	44	4
23	hsa04520	Adherens junction	66/72	Signaling	3.21378547740788e-06	4.17262247495247e-05	145	122.75	125	2.6781585093962e-07	19	0.519678792272886	0.540300627342052	1	30.9907463030133	53	145	81	237	131	19	119	113	144	94	185	152
24	hsa04141	Protein processing in endoplasmic reticulum	153/166	Signaling	3.69788083323118e-06	4.43745699987742e-05	5	50.5	37	3.0815725838699e-07	2	0.790420701932476	0.784422229078631	1	46.8530642416522	3	38	44	240	42	81	2	12	36	33	49	26
25	hsa04915	Estrogen signaling pathway	76/98	Signaling	3.93477478242736e-06	4.47146250119977e-05	80	58.8333333333333	63	3.27898489880775e-07	7	0.980130953076609	1.09771786451608	1	58.0561604740376	71	60	78	11	15	20	116	157	66	28	7	77
26	hsa05169	Epstein-Barr virus infection	164/202	Disease	4.03673698024979e-06	4.47146250119977e-05	15	79.0833333333333	61	3.36395370743601e-07	3	0.680687405826351	0.667211821893083	1	40.3165660208286	13	42	95	213	123	45	3	13	77	124	194	7
27	hsa04152	AMPK signaling pathway	101/121	Signaling	5.45016616797041e-06	5.70358476633182e-05	25	36	24.5	4.54181648541152e-07	3	0.68195057343643	0.66604394134996	1	39.4096385216388	11	35	3	118	24	21	10	27	65	71	25	22
28	hsa05031	Amphetamine addiction	42/68	Disease	5.54515185615593e-06	5.70358476633182e-05	55	35.75	24.5	4.62097162447017e-07	1	1.50905764754181	1.51403880970137	1	87.2182725597764	55	43	140	6	7	22	54	52	27	1	3	19
29	hsa04390	Hippo signaling pathway	129/154	Signaling	6.39888536060207e-06	6.35475511673585e-05	100	63.9166666666667	60.5	5.33242010622791e-07	2	0.739593568693926	0.792434888740668	1	42.2685753204243	28	95	21	97	2	23	42	97	142	63	58	99
30	hsa03040	Spliceosome	127/134	Signaling	6.96493091870737e-06	6.47064549867008e-05	5	94.5	70.5	5.80412762723059e-07	4	0.627616431371655	0.626938265931752	1	35.8005607409157	14	28	158	265	171	118	4	8	94	47	222	5
31	hsa04068	FoxO signaling pathway	110/132	Signaling	6.90767769448551e-06	6.47064549867008e-05	35	50.5833333333333	40	5.75641630368372e-07	6	0.858616606393345	0.902810866760116	1	48.9804712414178	29	65	127	87	60	24	18	33	35	78	6	45
32	hsa05162	Measles	88/134	Disease	8.60791135850025e-06	7.74712022265022e-05	70	66.4166666666667	69	7.17328776618077e-07	19	0.821698112511966	0.785951605258124	1	45.9989450278297	66	19	104	61	79	25	82	114	47	92	72	36
33	hsa04380	Osteoclast differentiation	85/130	Signaling	9.0043226584717e-06	7.85831795648439e-05	15	22.5833333333333	15	7.50363318279664e-07	5	0.941741140381587	0.990390526429167	1	52.6408670086583	15	14	52	15	5	46	9	31	8	24	41	11
34	hsa04020	Calcium signaling pathway	93/182	Signaling	9.30338810709194e-06	7.88051698483082e-05	105	135.75	116.5	7.75285648122218e-07	26	0.759556921197775	-0.764209438861312	-1	42.4429026501412	192	232	103	104	101	26	192	186	73	129	50	241
35	hsa04140	Regulation of autophagy	116/127	Signaling	1.11662245334713e-05	8.18462344339289e-05	20	86.1666666666667	56.5	9.30523473414478e-07	5	0.686703482312886	0.609779645516686	1	38.217332660878	8	18	160	224	181	135	5	23	20	150	90	20
