Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
25	hsa04530	Tight junction	131/170	Signaling	1.04274499051262e-06	1.18893682658638e-05	5	76.5555555555556	40.5	2.89651533074976e-08	1	0.551451424350703	0.24331723777291	0.333333333333333	39.3237166955466
26	hsa04340	Hedgehog signaling pathway	38/47	Signaling	1.11462827492473e-06	1.18893682658638e-05	50	134.472222222222	128	3.09619133018824e-08	10	0.784275522990834	-0.130023953564738	-0.333333333333333	37.7381245289982
27	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	16/24	Metabolism	1.09737334144754e-06	1.18893682658638e-05	165	167.833333333333	164.5	3.04826090787971e-08	6	0.486813636279968	-0.427590961470146	-1	25.2572259632511
28	hsa04668	TNF signaling pathway	90/108	Signaling	1.17788531377951e-06	1.21153917988749e-05	5	67.6944444444444	65.5	3.27190552282583e-08	5	0.970651868195132	0.394149319826357	0.333333333333333	39.6972181534627
29	hsa03040	Spliceosome	127/134	Signaling	1.22069210154484e-06	1.21227353532729e-05	10	105.805555555556	92	3.39081340526208e-08	4	0.545801251438658	0.275115270777703	0.333333333333333	26.287639625328
30	hsa04141	Protein processing in endoplasmic reticulum	153/166	Signaling	1.35124841551818e-06	1.29719847889746e-05	5	88.1111111111111	37	3.75347028637715e-08	2	0.753991649569807	0.269954701277007	0.333333333333333	32.0129008462678
31	hsa03320	PPAR signaling pathway	54/72	Signaling	1.43224993952652e-06	1.33060639543109e-05	155	124.25	138	3.97847482418494e-08	1	0.80108678153602	0.45248811500269	0.333333333333333	52.0963856245353
32	hsa04064	NF-kappa B signaling pathway	65/95	Signaling	1.69624940907784e-06	1.52662446817005e-05	90	72.2777777777778	59.5	4.71180779930126e-08	8	0.657342368383357	0.353569167520692	0.333333333333333	33.5183139779299
33	hsa05164	Influenza A	113/173	Disease	2.03723278743169e-06	1.77794861448584e-05	10	57.7222222222222	20.5	5.65898556930504e-08	2	0.723401227562231	0.423649816588337	0.333333333333333	35.1195238771474
34	hsa04144	Endocytosis	223/260	Signaling	2.14789448522751e-06	1.81939297572212e-05	20	98.6944444444444	73.5	5.96637979966759e-08	5	0.549883938845456	0.261593127088949	0.333333333333333	33.8251002638349
35	hsa00785	Lipoic acid metabolism	3/3	Metabolism	2.23469823537626e-06	1.83883740510961e-05	100	101.916666666667	51	6.77182017167614e-08	2	0.651848808578786	-0.652054486894498	-1	31.6756041660036
