Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
21	gmtcustom380	LET_7G_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LET_7G_3P	217/287	1.95874119891967e-08	2.58924751790299e-07	435	914.25	820.5	5.44094782658370e-10	190	0.646874013249961	0.260796905836475	0.333333333333333	15.4263436734908
22	gmtcustom385	MIR507	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR507	198/264	1.37427630288715e-08	2.58924751790299e-07	1280	1474.25	1593	3.81743420018892e-10	123	0.728383671806928	0.264349763740467	0.333333333333333	16.6344352983004
23	gmtcustom388	MIR4496	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4496	219/289	1.9526692189521e-08	2.58924751790299e-07	780	1331.13888888889	1242	5.42408121524197e-10	185	0.598226955727684	0.231741164763032	0.333333333333333	15.4213363394366
24	gmtcustom420	MIR5093	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR5093	192/244	4.82635240268246e-09	2.58924751790299e-07	215	861.416666666667	675.5	1.34065344833493e-10	28	0.679434667121906	0.231065435303126	0.333333333333333	19.1687062033483
25	gmtcustom427	MIR5683	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR5683	169/241	1.64583711059308e-08	2.58924751790299e-07	360	1182.63888888889	1091	4.5717697882243e-10	133	0.603745253166684	0.223892066739935	0.333333333333333	16.3788133927966
26	gmtcustom439	MIR3140_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3140_3P	174/236	4.35247414533172e-09	2.58924751790299e-07	145	604.611111111111	251	1.2090205984835e-10	24	0.709670665776609	0.351179044378344	0.333333333333333	19.4906028437851
27	gmtcustom459	MIR766_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR766_5P	158/226	6.04612209323962e-09	2.58924751790299e-07	1860	1393.66666666667	1617	1.67947836416935e-10	36	0.658821021882189	0.299843904796274	0.333333333333333	14.4705150140546
28	gmtcustom469	MIR761	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR761	187/225	3.4405995361621e-09	2.58924751790299e-07	380	1002.77777777778	803.5	9.55722094976819e-11	13	0.629004912676121	0.272730054440671	0.333333333333333	16.25730469744
29	gmtcustom473	MIR557	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR557	167/225	1.09045475225886e-08	2.58924751790299e-07	1330	1398.86111111111	1511.5	3.02904099455323e-10	90	0.749845754717398	0.292439772490005	0.333333333333333	19.6138220967248
30	gmtcustom483	MIR4743_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4743_3P	156/209	7.01333261475795e-09	2.58924751790299e-07	1385	1134	1158.5	1.94814795518561e-10	48	0.725912060581171	0.345307395347185	0.333333333333333	17.1639627868906
31	gmtcustom488	MIR452_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR452_5P	170/219	1.40562055033529e-08	2.58924751790299e-07	795	1046.5	1019.5	3.90450155538811e-10	126	0.877451233009788	0.115502827906143	0.333333333333333	19.8499595394236
32	gmtcustom494	MIR3185	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3185	137/211	2.00868669212273e-08	2.58924751790299e-07	1265	1084.94444444444	942.5	5.579685310379e-10	26	0.73991159106575	0.37413844330762	0.333333333333333	14.115115987025
33	gmtcustom495	MIR4731_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4731_3P	163/228	1.15197719215416e-08	2.58924751790299e-07	165	313.222222222222	223.5	3.19993666279196e-10	17	0.819933928078207	0.442360154187881	0.333333333333333	21.3851816443037
34	gmtcustom513	MIR892C_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR892C_3P	164/211	1.39893850144893e-08	2.58924751790299e-07	855	1055.75	1072.5	3.88594030822851e-10	125	0.880152228545962	0.11844205926163	0.333333333333333	19.6152893752206
35	gmtcustom522	MIR4676_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4676_3P	164/211	1.11309450595169e-08	2.58924751790299e-07	755	1012.27777777778	1007	3.09192919992918e-10	92	0.876069205071386	0.113391434506054	0.333333333333333	20.1065536095995
