source	target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	score
AKR1C2	HSD3B1	9606.ENSP00000370129	9606.ENSP00000358421	0.044	0	0	0	0.066	0	0	0.577	0.59
AKR1C2	GPX2	9606.ENSP00000370129	9606.ENSP00000374265	0	0	0	0	0.121	0.056	0	0.34	0.405
AMER3	KIF3C	9606.ENSP00000392700	9606.ENSP00000264712	0	0	0	0	0.088	0	0	0.375	0.406
ANKRD1	NR4A2	9606.ENSP00000360762	9606.ENSP00000344479	0	0	0	0	0	0	0	0.486	0.486
ANKRD1	MAFF	9606.ENSP00000360762	9606.ENSP00000345393	0	0	0	0	0	0.143	0	0.436	0.496
APOL6	BCL2L1	9606.ENSP00000386280	9606.ENSP00000302564	0	0	0	0	0	0	0	0.444	0.444
AREG	CCND1	9606.ENSP00000379097	9606.ENSP00000227507	0	0	0	0	0	0	0	0.463	0.463
AREG	HBEGF	9606.ENSP00000379097	9606.ENSP00000230990	0	0	0	0.741	0.091	0	0.3	0.87	0.485
AREG	EREG	9606.ENSP00000379097	9606.ENSP00000244869	0	0	0	0	0.202	0	0.3	0.905	0.942
AREG	RHOB	9606.ENSP00000379097	9606.ENSP00000272233	0	0	0	0	0	0	0	0.405	0.405
AREG	FOS	9606.ENSP00000379097	9606.ENSP00000306245	0	0	0	0	0	0	0.9	0.381	0.935
AREG	ETV5	9606.ENSP00000379097	9606.ENSP00000306894	0	0	0	0	0	0	0	0.424	0.424
AREG	EPHA2	9606.ENSP00000379097	9606.ENSP00000351209	0	0	0	0	0.076	0	0.6	0.218	0.685
AREG	CCND3	9606.ENSP00000379097	9606.ENSP00000362082	0	0	0	0	0	0.6	0	0.137	0.64
AREG	SPRY2	9606.ENSP00000379097	9606.ENSP00000366306	0	0	0	0	0	0	0.6	0.165	0.652
AREG	MYC	9606.ENSP00000379097	9606.ENSP00000479618	0	0	0	0	0.069	0	0	0.42	0.436
AREG	CXCL2	9606.ENSP00000379097	9606.ENSP00000427279	0	0	0	0	0.136	0	0	0.378	0.44
AREG	SPRY1	9606.ENSP00000379097	9606.ENSP00000481675	0	0	0	0	0	0	0.6	0.169	0.653
ARRDC3	FAM134B	9606.ENSP00000265138	9606.ENSP00000304642	0	0	0	0	0	0	0	0.559	0.559
ATF7IP	SUV39H1	9606.ENSP00000440440	9606.ENSP00000337976	0	0	0	0	0.062	0.42	0	0.266	0.566
ATF7IP	SPRY4	9606.ENSP00000440440	9606.ENSP00000344967	0	0	0	0	0	0	0	0.705	0.705
ATF7IP	RFWD3	9606.ENSP00000440440	9606.ENSP00000354361	0	0	0	0	0.076	0	0	0.74	0.749
AXIN2	LFNG	9606.ENSP00000302625	9606.ENSP00000222725	0	0	0	0	0.062	0	0	0.388	0.401
AXIN2	CCND1	9606.ENSP00000302625	9606.ENSP00000227507	0	0	0	0	0	0	0	0.742	0.742
AXIN2	SOX9	9606.ENSP00000302625	9606.ENSP00000245479	0	0	0	0	0.063	0	0	0.645	0.653
AXIN2	JAG1	9606.ENSP00000302625	9606.ENSP00000254958	0	0	0	0	0.062	0.102	0	0.494	0.536
AXIN2	TBX3	9606.ENSP00000302625	9606.ENSP00000257566	0	0	0	0	0	0	0	0.406	0.406
AXIN2	THBS1	9606.ENSP00000302625	9606.ENSP00000260356	0	0	0	0	0	0	0	0.409	0.409
AXIN2	SMAD7	9606.ENSP00000302625	9606.ENSP00000262158	0	0	0	0	0	0.501	0	0.306	0.639
AXIN2	DUSP6	9606.ENSP00000302625	9606.ENSP00000279488	0	0	0	0	0	0	0	0.409	0.409
AXIN2	SHH	9606.ENSP00000302625	9606.ENSP00000297261	0	0	0	0	0	0	0	0.635	0.635
AXIN2	TGFBR2	9606.ENSP00000302625	9606.ENSP00000351905	0	0	0	0	0	0.112	0	0.364	0.411
AXIN2	NRARP	9606.ENSP00000302625	9606.ENSP00000349041	0	0	0	0	0.062	0.066	0	0.398	0.426
AXIN2	LRP8	9606.ENSP00000302625	9606.ENSP00000303634	0	0	0	0	0.054	0.246	0	0.26	0.426
AXIN2	BMP2	9606.ENSP00000302625	9606.ENSP00000368104	0	0	0	0	0	0.076	0	0.435	0.456
AXIN2	LGR4	9606.ENSP00000302625	9606.ENSP00000368516	0	0	0	0	0	0.056	0	0.523	0.53
AXIN2	MYC	9606.ENSP00000302625	9606.ENSP00000479618	0	0	0	0	0	0	0	0.714	0.714
B4GALT5	ST3GAL2	9606.ENSP00000360776	9606.ENSP00000377257	0	0	0	0	0	0	0	0.768	0.768
B4GALT5	MUC13	9606.ENSP00000360776	9606.ENSP00000485028	0	0	0	0	0	0	0.9	0.085	0.904
BCL2L1	TNFRSF10A	9606.ENSP00000302564	9606.ENSP00000221132	0	0	0	0	0	0	0	0.717	0.717
BCL2L1	CCL2	9606.ENSP00000302564	9606.ENSP00000225831	0	0	0	0	0	0	0	0.457	0.457
BCL2L1	CCND1	9606.ENSP00000302564	9606.ENSP00000227507	0	0	0	0	0	0	0	0.848	0.848
BCL2L1	CDKN1B	9606.ENSP00000302564	9606.ENSP00000228872	0	0	0	0	0	0	0	0.571	0.571
BCL2L1	NR3C1	9606.ENSP00000302564	9606.ENSP00000231509	0	0	0	0	0	0.149	0	0.341	0.415
BCL2L1	EGR1	9606.ENSP00000302564	9606.ENSP00000239938	0	0	0	0	0	0.056	0	0.392	0.401
BCL2L1	RBBP8NL	9606.ENSP00000302564	9606.ENSP00000252998	0	0	0	0	0	0	0	0.545	0.545
BCL2L1	IER3	9606.ENSP00000302564	9606.ENSP00000259874	0	0	0	0	0.062	0.27	0	0.252	0.443
BCL2L1	HK2	9606.ENSP00000302564	9606.ENSP00000290573	0	0	0	0	0	0	0	0.439	0.439
BCL2L1	PIM3	9606.ENSP00000302564	9606.ENSP00000353824	0	0	0	0	0.063	0	0	0.397	0.41
BCL2L1	NFE2L2	9606.ENSP00000302564	9606.ENSP00000380252	0	0	0	0	0	0	0	0.422	0.422
BCL2L1	PIWIL2	9606.ENSP00000302564	9606.ENSP00000349208	0	0	0	0	0	0	0	0.432	0.432
BCL2L1	HSPA1A	9606.ENSP00000302564	9606.ENSP00000364802	0	0	0	0	0.063	0	0	0.425	0.438
BCL2L1	PLK3	9606.ENSP00000302564	9606.ENSP00000361275	0	0	0	0	0.062	0.27	0	0.278	0.462
BCL2L1	TNFRSF9	9606.ENSP00000302564	9606.ENSP00000478699	0	0	0	0	0	0	0	0.471	0.471
BCL2L1	CCND3	9606.ENSP00000302564	9606.ENSP00000362082	0	0	0	0	0.072	0	0	0.465	0.482
BCL2L1	CXCR4	9606.ENSP00000302564	9606.ENSP00000386884	0	0	0	0	0	0	0	0.503	0.503
BCL2L1	FOXO1	9606.ENSP00000302564	9606.ENSP00000368880	0	0	0	0	0	0.057	0	0.518	0.526
BCL2L1	FOS	9606.ENSP00000302564	9606.ENSP00000306245	0	0	0	0	0.062	0	0	0.545	0.554
BCL2L1	FAIM2	9606.ENSP00000302564	9606.ENSP00000321951	0	0	0	0	0	0.345	0	0.348	0.555
BCL2L1	CDKN1A	9606.ENSP00000302564	9606.ENSP00000384849	0	0	0	0	0.076	0	0	0.662	0.674
BCL2L1	NR4A1	9606.ENSP00000302564	9606.ENSP00000440864	0	0	0	0	0	0	0	0.703	0.703
BCL2L1	MYC	9606.ENSP00000302564	9606.ENSP00000479618	0	0	0	0	0	0.091	0	0.795	0.806
BCL2L1	CASP9	9606.ENSP00000302564	9606.ENSP00000330237	0	0	0	0	0.056	0.724	0	0.905	0.973
BCL2L1	BMF	9606.ENSP00000302564	9606.ENSP00000346697	0	0	0	0	0	0.813	0	0.96	0.992
BCL2L1	PMAIP1	9606.ENSP00000302564	9606.ENSP00000326119	0	0	0	0	0	0.82	0.8	0.985	0.999
BHLHE40	NR3C1	9606.ENSP00000256495	9606.ENSP00000231509	0	0	0	0	0.076	0.057	0	0.373	0.406
BHLHE40	HES1	9606.ENSP00000256495	9606.ENSP00000232424	0	0	0	0.606	0	0	0.9	0.143	0.904
BHLHE40	EGR1	9606.ENSP00000256495	9606.ENSP00000239938	0	0	0	0	0.099	0.059	0	0.422	0.467
BHLHE40	NR1D1	9606.ENSP00000256495	9606.ENSP00000246672	0	0	0	0	0.114	0.072	0	0.794	0.817
BHLHE40	PER2	9606.ENSP00000256495	9606.ENSP00000254657	0	0	0	0	0.062	0.16	0	0.743	0.78
BHLHE40	KLF10	9606.ENSP00000256495	9606.ENSP00000285407	0	0	0	0	0.118	0.059	0	0.402	0.46
BHLHE40	MXI1	9606.ENSP00000256495	9606.ENSP00000331152	0	0	0	0	0	0	0	0.482	0.482
BICD1	FOXQ1	9606.ENSP00000281474	9606.ENSP00000296839	0	0	0	0	0	0	0	0.42	0.42
BMF	DDIT4	9606.ENSP00000346697	9606.ENSP00000307305	0	0	0	0	0	0	0	0.604	0.604
BMF	PMAIP1	9606.ENSP00000346697	9606.ENSP00000326119	0	0	0	0	0	0	0	0.811	0.811
BMF	CASP9	9606.ENSP00000346697	9606.ENSP00000330237	0	0	0	0	0	0	0	0.525	0.525
BMF	RFWD3	9606.ENSP00000346697	9606.ENSP00000354361	0	0	0	0	0	0	0	0.418	0.418
BMP2	FSTL3	9606.ENSP00000368104	9606.ENSP00000166139	0	0	0	0	0.078	0.143	0	0.391	0.477
BMP2	ID2	9606.ENSP00000368104	9606.ENSP00000234091	0	0	0	0	0	0	0	0.43	0.43
BMP2	SOX9	9606.ENSP00000368104	9606.ENSP00000245479	0	0	0	0	0.065	0.077	0	0.861	0.87
BMP2	LIF	9606.ENSP00000368104	9606.ENSP00000249075	0	0	0	0	0.069	0	0	0.426	0.443
BMP2	JAG1	9606.ENSP00000368104	9606.ENSP00000254958	0	0	0	0	0.097	0.102	0	0.548	0.602
BMP2	TBX3	9606.ENSP00000368104	9606.ENSP00000257566	0	0	0	0	0.083	0.139	0	0.557	0.62
BMP2	SMAD7	9606.ENSP00000368104	9606.ENSP00000262158	0	0	0	0	0.084	0.148	0.9	0.687	0.972
BMP2	IL11	9606.ENSP00000368104	9606.ENSP00000264563	0	0	0	0	0	0	0	0.476	0.476
BMP2	SHH	9606.ENSP00000368104	9606.ENSP00000297261	0	0	0	0	0	0.23	0	0.859	0.887
BMP2	TNFRSF11B	9606.ENSP00000368104	9606.ENSP00000297350	0	0	0	0	0.072	0	0	0.72	0.73
BMP2	KLF13	9606.ENSP00000368104	9606.ENSP00000302456	0	0	0	0	0	0.057	0	0.408	0.418
BMP2	FOS	9606.ENSP00000368104	9606.ENSP00000306245	0	0	0	0	0	0	0	0.401	0.4
BMP2	PDE4D	9606.ENSP00000368104	9606.ENSP00000345502	0	0	0	0	0.07	0	0	0.425	0.443
BMP2	TGFBR2	9606.ENSP00000368104	9606.ENSP00000351905	0	0	0	0	0.062	0.15	0	0.393	0.473
BMP2	ID1	9606.ENSP00000368104	9606.ENSP00000365280	0	0	0	0	0.076	0	0	0.645	0.658
BMP2	CXCR4	9606.ENSP00000368104	9606.ENSP00000386884	0	0	0	0	0	0	0	0.435	0.435
BMP2	MYC	9606.ENSP00000368104	9606.ENSP00000479618	0	0	0	0	0	0.061	0	0.43	0.442
BMP2	PAX6	9606.ENSP00000368104	9606.ENSP00000404100	0	0	0	0	0.049	0.342	0	0.402	0.593
BORA	CDCA8	9606.ENSP00000479266	9606.ENSP00000362146	0	0	0	0	0.421	0	0	0.321	0.59
BORA	KIFC1	9606.ENSP00000479266	9606.ENSP00000393963	0	0	0	0	0.295	0	0	0.293	0.48
BTG2	GADD45B	9606.ENSP00000290551	9606.ENSP00000215631	0	0	0	0	0.109	0	0	0.411	0.453
BTG2	CCND1	9606.ENSP00000290551	9606.ENSP00000227507	0	0	0	0	0	0	0.9	0.459	0.943
BTG2	DUSP1	9606.ENSP00000290551	9606.ENSP00000239223	0	0	0	0	0.777	0	0	0.412	0.864
BTG2	EGR1	9606.ENSP00000290551	9606.ENSP00000239938	0	0	0	0	0.61	0	0	0.508	0.799
BTG2	EGR2	9606.ENSP00000290551	9606.ENSP00000242480	0	0	0	0	0.31	0	0	0.343	0.528
BTG2	FOSB	9606.ENSP00000290551	9606.ENSP00000245919	0	0	0	0	0.22	0	0	0.455	0.557
BTG2	GDF15	9606.ENSP00000290551	9606.ENSP00000252809	0	0	0	0	0	0	0	0.487	0.487
BTG2	IER3	9606.ENSP00000290551	9606.ENSP00000259874	0	0	0	0	0.064	0	0	0.406	0.42
BTG2	CSRNP1	9606.ENSP00000290551	9606.ENSP00000273153	0	0	0	0	0.225	0	0	0.288	0.425
BTG2	FOSL1	9606.ENSP00000290551	9606.ENSP00000310170	0	0	0	0	0.085	0	0	0.392	0.419
BTG2	PLK3	9606.ENSP00000290551	9606.ENSP00000361275	0	0	0	0	0.124	0	0	0.371	0.425
BTG2	DUSP5	9606.ENSP00000290551	9606.ENSP00000358596	0	0	0	0	0.185	0	0	0.326	0.427
BTG2	EGR4	9606.ENSP00000290551	9606.ENSP00000445626	0	0	0	0	0.064	0	0	0.467	0.48
BTG2	CDKN1A	9606.ENSP00000290551	9606.ENSP00000384849	0	0	0	0	0.109	0	0	0.458	0.496
BTG2	SESN1	9606.ENSP00000290551	9606.ENSP00000393762	0	0	0	0	0.065	0	0	0.542	0.554
BTG2	ZFP36	9606.ENSP00000290551	9606.ENSP00000469647	0	0	0	0	0.366	0	0	0.338	0.563
BTG2	JUNB	9606.ENSP00000290551	9606.ENSP00000303315	0	0	0	0	0.468	0	0	0.297	0.61
BTG2	KLF6	9606.ENSP00000290551	9606.ENSP00000419923	0	0	0	0	0.665	0	0	0.376	0.782
BTG2	IER2	9606.ENSP00000290551	9606.ENSP00000465617	0	0	0	0	0.663	0	0	0.459	0.81
BTG2	NR4A1	9606.ENSP00000290551	9606.ENSP00000440864	0	0	0	0	0.533	0	0	0.637	0.823
BTG2	FOS	9606.ENSP00000290551	9606.ENSP00000306245	0	0	0	0	0.85	0	0	0.47	0.917
BTG2	HOXB9	9606.ENSP00000290551	9606.ENSP00000309439	0	0	0	0	0	0.297	0.9	0.841	0.987
C21orf58	TRIB1	9606.ENSP00000291691	9606.ENSP00000312150	0	0	0	0	0	0	0	0.419	0.419
C21orf58	KLHDC7A	9606.ENSP00000291691	9606.ENSP00000383505	0	0	0	0	0	0	0	0.465	0.465
C21orf58	PLCXD2	9606.ENSP00000291691	9606.ENSP00000420686	0	0	0	0	0	0	0	0.468	0.468
CACNB2	PDE4D	9606.ENSP00000320025	9606.ENSP00000345502	0	0	0	0	0	0	0.54	0.09	0.563
CACNB2	OXTR	9606.ENSP00000320025	9606.ENSP00000324270	0	0	0	0	0	0	0.6	0	0.6
CACNB2	SCN1B	9606.ENSP00000320025	9606.ENSP00000396915	0	0	0	0	0.056	0	0	0.666	0.671
CACNB2	GNAI1	9606.ENSP00000320025	9606.ENSP00000343027	0	0	0	0	0	0	0.65	0.104	0.673
CAPN8	NR1D1	9606.ENSP00000355837	9606.ENSP00000246672	0	0	0	0	0.049	0	0	0.501	0.505
CASP9	TNFRSF10A	9606.ENSP00000330237	9606.ENSP00000221132	0	0	0	0	0	0.059	0	0.736	0.741
CASP9	CCND1	9606.ENSP00000330237	9606.ENSP00000227507	0	0	0	0	0	0	0	0.755	0.755
CASP9	CDKN1B	9606.ENSP00000330237	9606.ENSP00000228872	0	0	0	0	0	0	0	0.487	0.487
CASP9	TNFRSF21	9606.ENSP00000330237	9606.ENSP00000296861	0	0	0	0	0	0	0	0.538	0.538
CASP9	FOS	9606.ENSP00000330237	9606.ENSP00000306245	0	0	0	0	0	0	0	0.415	0.414
CASP9	PMAIP1	9606.ENSP00000330237	9606.ENSP00000326119	0	0	0	0	0	0	0	0.713	0.713
CASP9	GPX2	9606.ENSP00000330237	9606.ENSP00000374265	0	0	0	0	0	0	0	0.401	0.401
CASP9	HSPA1A	9606.ENSP00000330237	9606.ENSP00000364802	0	0	0	0	0	0.14	0	0.393	0.456
CASP9	NFE2L2	9606.ENSP00000330237	9606.ENSP00000380252	0	0	0	0	0	0	0	0.457	0.457
CASP9	FGG	9606.ENSP00000330237	9606.ENSP00000336829	0	0	0	0	0	0	0	0.46	0.46
CASP9	FOXO1	9606.ENSP00000330237	9606.ENSP00000368880	0	0	0	0	0	0	0	0.465	0.465
CASP9	TNFAIP8	9606.ENSP00000330237	9606.ENSP00000427424	0	0	0	0	0	0.069	0	0.52	0.534
CASP9	CDKN1A	9606.ENSP00000330237	9606.ENSP00000384849	0	0	0	0	0	0	0	0.618	0.618
CASP9	MYC	9606.ENSP00000330237	9606.ENSP00000479618	0	0	0	0	0	0	0	0.649	0.649
CCL2	GDF15	9606.ENSP00000225831	9606.ENSP00000252809	0	0	0	0	0.057	0	0	0.391	0.401
CCL2	TNFRSF9	9606.ENSP00000225831	9606.ENSP00000478699	0	0	0	0	0	0	0	0.404	0.404
CCL2	KLF6	9606.ENSP00000225831	9606.ENSP00000419923	0	0	0	0	0.052	0.27	0	0.212	0.407
CCL2	NR3C1	9606.ENSP00000225831	9606.ENSP00000231509	0	0	0	0	0.055	0	0	0.406	0.414
CCL2	CCND1	9606.ENSP00000225831	9606.ENSP00000227507	0	0	0	0	0.065	0	0	0.438	0.452
CCL2	NFE2L2	9606.ENSP00000225831	9606.ENSP00000380252	0	0	0	0	0	0	0	0.459	0.459
CCL2	DUSP1	9606.ENSP00000225831	9606.ENSP00000239223	0	0	0	0	0.064	0	0	0.459	0.471
CCL2	EGR1	9606.ENSP00000225831	9606.ENSP00000239938	0	0	0	0	0.062	0	0	0.466	0.477
CCL2	MYC	9606.ENSP00000225831	9606.ENSP00000479618	0	0	0	0	0.062	0	0	0.469	0.48
CCL2	HBEGF	9606.ENSP00000225831	9606.ENSP00000230990	0	0	0	0	0.07	0	0	0.468	0.484
CCL2	IL11	9606.ENSP00000225831	9606.ENSP00000264563	0	0	0	0	0	0	0	0.519	0.519
CCL2	TNFRSF11B	9606.ENSP00000225831	9606.ENSP00000297350	0	0	0	0	0.076	0	0	0.519	0.536
CCL2	THBS1	9606.ENSP00000225831	9606.ENSP00000260356	0	0	0	0	0.144	0	0	0.518	0.569
CCL2	VCAN	9606.ENSP00000225831	9606.ENSP00000265077	0	0	0	0	0.049	0.27	0	0.441	0.578
CCL2	EDN1	9606.ENSP00000225831	9606.ENSP00000368683	0	0	0	0	0.088	0	0	0.661	0.678
CCL2	LGALS3	9606.ENSP00000225831	9606.ENSP00000254301	0	0	0	0	0.099	0	0	0.674	0.693
CCL2	CXCL3	9606.ENSP00000225831	9606.ENSP00000296026	0	0	0	0	0.165	0	0	0.697	0.736
CCL2	IL12A	9606.ENSP00000225831	9606.ENSP00000303231	0	0	0	0	0	0	0.9	0.175	0.914
CCL2	CXCR4	9606.ENSP00000225831	9606.ENSP00000386884	0	0	0	0	0.062	0.057	0.6	0.804	0.921
CCL2	LIF	9606.ENSP00000225831	9606.ENSP00000249075	0	0	0	0	0.098	0	0.9	0.506	0.951
CCL2	FOS	9606.ENSP00000225831	9606.ENSP00000306245	0	0	0	0	0	0	0.9	0.556	0.953
CCL2	CXCL2	9606.ENSP00000225831	9606.ENSP00000427279	0	0	0	0	0.194	0	0.9	0.824	0.984
CCND1	FSTL3	9606.ENSP00000227507	9606.ENSP00000166139	0	0	0	0	0.11	0	0	0.398	0.441
CCND1	SALL4	9606.ENSP00000227507	9606.ENSP00000217086	0	0	0	0	0	0	0	0.878	0.878
CCND1	TNFRSF10A	9606.ENSP00000227507	9606.ENSP00000221132	0	0	0	0	0	0	0	0.431	0.431
CCND1	DUSP1	9606.ENSP00000227507	9606.ENSP00000239223	0	0	0	0	0	0	0	0.403	0.403
CCND1	HBEGF	9606.ENSP00000227507	9606.ENSP00000230990	0	0	0	0	0.062	0	0	0.391	0.404
CCND1	GDF15	9606.ENSP00000227507	9606.ENSP00000252809	0	0	0	0	0.11	0	0	0.369	0.414
CCND1	DYRK1B	9606.ENSP00000227507	9606.ENSP00000469863	0	0	0	0	0	0	0	0.415	0.415
CCND1	LGALS3	9606.ENSP00000227507	9606.ENSP00000254301	0	0	0	0	0.064	0	0	0.401	0.415
CCND1	THBS1	9606.ENSP00000227507	9606.ENSP00000260356	0	0	0	0	0.098	0	0	0.391	0.427
CCND1	ETV4	9606.ENSP00000227507	9606.ENSP00000321835	0	0	0	0	0.139	0	0	0.372	0.436
CCND1	SMAD7	9606.ENSP00000227507	9606.ENSP00000262158	0	0	0	0	0.062	0	0	0.426	0.438
CCND1	SLC2A1	9606.ENSP00000227507	9606.ENSP00000416293	0	0	0	0	0.076	0	0	0.426	0.446
CCND1	PAX6	9606.ENSP00000227507	9606.ENSP00000404100	0	0	0	0	0	0	0	0.451	0.451
CCND1	NFE2L2	9606.ENSP00000227507	9606.ENSP00000380252	0	0	0	0	0	0	0	0.457	0.457
CCND1	FOSB	9606.ENSP00000227507	9606.ENSP00000245919	0	0	0	0	0	0	0	0.46	0.46
CCND1	NR3C1	9606.ENSP00000227507	9606.ENSP00000231509	0	0	0	0	0	0.056	0	0.456	0.464
CCND1	TGFBR2	9606.ENSP00000227507	9606.ENSP00000351905	0	0	0	0	0.062	0	0	0.457	0.468
CCND1	EPHA2	9606.ENSP00000227507	9606.ENSP00000351209	0	0	0	0	0.305	0	0	0.274	0.473
CCND1	KLF5	9606.ENSP00000227507	9606.ENSP00000366915	0	0	0	0	0.069	0.056	0	0.458	0.482
CCND1	TCF4	9606.ENSP00000227507	9606.ENSP00000381382	0	0	0	0	0.063	0	0	0.472	0.484
CCND1	PMAIP1	9606.ENSP00000227507	9606.ENSP00000326119	0	0	0	0	0	0	0	0.504	0.504
CCND1	CXCR4	9606.ENSP00000227507	9606.ENSP00000386884	0	0	0	0	0	0	0	0.506	0.506
CCND1	TFF1	9606.ENSP00000227507	9606.ENSP00000291527	0	0	0	0	0.076	0	0	0.494	0.512
CCND1	ID1	9606.ENSP00000227507	9606.ENSP00000365280	0	0	0	0	0.15	0	0	0.452	0.514
CCND1	ENC1	9606.ENSP00000227507	9606.ENSP00000479101	0	0	0	0	0	0	0	0.519	0.519
CCND1	MYEOV	9606.ENSP00000227507	9606.ENSP00000308330	0	0	0	0	0.088	0	0	0.499	0.523
CCND1	EGR1	9606.ENSP00000227507	9606.ENSP00000239938	0	0	0	0	0	0.056	0	0.529	0.536
CCND1	KLF6	9606.ENSP00000227507	9606.ENSP00000419923	0	0	0	0	0	0.056	0	0.534	0.541
CCND1	FOSL1	9606.ENSP00000227507	9606.ENSP00000310170	0	0	0	0	0.114	0	0	0.563	0.597
CCND1	SOX9	9606.ENSP00000227507	9606.ENSP00000245479	0	0	0	0	0.139	0	0	0.566	0.61
CCND1	SHH	9606.ENSP00000227507	9606.ENSP00000297261	0	0	0	0	0	0	0	0.623	0.623
CCND1	CCNF	9606.ENSP00000227507	9606.ENSP00000380256	0	0	0	0.599	0.062	0.098	0.54	0.507	0.659
CCND1	JAG1	9606.ENSP00000227507	9606.ENSP00000254958	0	0	0	0	0.092	0	0	0.644	0.663
CCND1	RUNX1	9606.ENSP00000227507	9606.ENSP00000300305	0	0	0	0	0	0.213	0.6	0.186	0.721
